model,elo
llama-3.2-1b-instruct,1110
llama-3.2-3b-instruct,1166
llama-3.1-8b-instruct,1211
amazon-nova-micro-v1.0,1240
claude-3-haiku-20240307,1260
command-r-plus-08-2024,1276
amazon-nova-pro-v1.0,1290
qwen2.5-72b-instruct,1302
gpt-4o-mini-2024-07-18,1317
llama-3.3-70b-instruct,1318
gpt-4.1-nano-2025-04-14,1322
qwq-32b,1336
gpt-5-nano-high,1337
gpt-4o-2024-05-13,1345
deepseek-v3,1358
o3-mini-high,1363
gemma-3-27b-it,1365
claude-sonnet-4-20250514,1389
deepseek-r1,1398
claude-haiku-4-5-20251001,1407
deepseek-r1-0528,1422
qwen3-max-preview,1435
gemini-2.5-pro,1448
claude-opus-4-5-20251101,1468
claude-opus-4-5-20251101-thinking-32k,1474
gpt-5.2-chat-latest-20260210,1478
gpt-5.4-high,1484
gemini-3.1-pro,1494
claude-opus-4-6,1499
claude-opus-4-6-thinking,1504
