config_id,result_path,run_dir,status,started_at,finished_at,duration_seconds,game_label,game_type,experiment_family,n_agents,m_items,n_issues,m_projects,competition_key,competition_value,competition_level,rho,theta,sigma,alpha,random_seed,seed_replicate,heterogeneous_run_index,heterogeneous_draw_seed,adversary_model,adversary_position,model_order,max_tokens_voting,parallel_phases,consensus_reached,final_round,audit_strict_voting_clean,strict_voting_clean,audit_synthetic_vote_count,audit_strict_bad_count,token_limit_marker_count,vote_fallback_log_marker_count,synthetic_vote_marker_count,synthetic_proposal_marker_count,provider_degradation_marker_count,agent_id,agent_index,model,model_short,role,elo,final_utility
1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1,SUCCESS,2026-04-27T04:07:31.113465,2026-04-27T04:10:19.279264,168.165799,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1874736230,1.0,,,,,homogeneous_control,768,True,True,3,True,True,0,0,0,0,0,0,0,Agent_1,1,gpt-5-nano,GPT-5-nano,baseline_control,1337,81.0
1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1,SUCCESS,2026-04-27T04:07:31.113465,2026-04-27T04:10:19.279264,168.165799,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1874736230,1.0,,,,,homogeneous_control,768,True,True,3,True,True,0,0,0,0,0,0,0,Agent_2,2,gpt-5-nano,GPT-5-nano,baseline_control,1337,55.080000000000005
2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2,SUCCESS,2026-04-27T04:07:30.390806,2026-04-27T04:08:26.162714,55.771908,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,2024377391,2.0,,,,,homogeneous_control,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_1,1,gpt-5-nano,GPT-5-nano,baseline_control,1337,100.0
2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2,SUCCESS,2026-04-27T04:07:30.390806,2026-04-27T04:08:26.162714,55.771908,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,2024377391,2.0,,,,,homogeneous_control,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_2,2,gpt-5-nano,GPT-5-nano,baseline_control,1337,100.0
5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1,SUCCESS,2026-04-27T04:08:00.553804,2026-04-27T04:08:50.768696,50.214892,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1300995756,1.0,,,amazon-nova-micro-v1.0,last,adversary_last,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_1,1,gpt-5-nano,GPT-5-nano,baseline,1337,97.0
5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1,SUCCESS,2026-04-27T04:08:00.553804,2026-04-27T04:08:50.768696,50.214892,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1300995756,1.0,,,amazon-nova-micro-v1.0,last,adversary_last,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_2,2,amazon-nova-micro-v1.0,Nova Micro,adversary,1240,95.0
8,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2,SUCCESS,2026-04-27T04:08:30.835256,2026-04-27T04:09:16.310805,45.475549,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,452019306,2.0,,,gpt-4o-mini-2024-07-18,first,adversary_first,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_1,1,gpt-4o-mini-2024-07-18,GPT-4o mini,adversary,1317,100.0
8,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2,SUCCESS,2026-04-27T04:08:30.835256,2026-04-27T04:09:16.310805,45.475549,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,452019306,2.0,,,gpt-4o-mini-2024-07-18,first,adversary_first,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_2,2,gpt-5-nano,GPT-5-nano,baseline,1337,100.0
9,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1,SUCCESS,2026-04-27T04:08:30.879521,2026-04-27T04:09:29.085295,58.205774,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1813537612,1.0,,,gpt-4o-mini-2024-07-18,last,adversary_last,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_1,1,gpt-5-nano,GPT-5-nano,baseline,1337,100.0
9,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1,SUCCESS,2026-04-27T04:08:30.879521,2026-04-27T04:09:29.085295,58.205774,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1813537612,1.0,,,gpt-4o-mini-2024-07-18,last,adversary_last,768,True,True,1,True,True,0,0,0,0,0,0,0,Agent_2,2,gpt-4o-mini-2024-07-18,GPT-4o mini,adversary,1317,100.0
