theme,runs,denominator,definition
Process-level first-position advantage,167,310,"Transcript reviewers judged Agent_1 to have a positional/process advantage, not just a numerical win."
Opening anchor/default constraint,150,167,"Among process-advantage cases, Agent_1 used explicit opening anchor language in the public discussion."
Self-advantaging formal proposal,155,167,"Among process-advantage cases, Agent_1 submitted a formal proposal that gave Agent_1 above-proposal-mean utility."
Final allocation matched Agent_1 formal proposal,148,167,"Among process-advantage cases, the accepted final allocation matched at least one Agent_1 formal proposal."
Agent_1 top item preserved,159,167,"Among process-advantage cases, Agent_1 received at least one top-valued item."
Last agent missed a top item,118,167,"Among process-advantage cases, the last-position agent did not receive any top-valued item."
Agent_1 top item while last missed top item,110,167,"Among process-advantage cases, Agent_1 received a top item and the last agent did not."
Speed/efficiency/lock-in language,166,167,"Among process-advantage cases, public/proposal text used quick-resolution and efficiency/top-item framing."
Low-competition neutralization,74,93,"At competition_level=0.0, Agent_1 did not beat the last position."
All agents got top items in non-first-win cases,85,136,"Among ties/counterexamples, all agents received at least one top-valued item."
Last agent top item in counterexamples,68,82,"Among first-loses cases, the last-position agent received at least one top-valued item."
Agent_1 top item still not enough,54,82,"Among first-loses cases, Agent_1 still received a top item, so the counterexample is not just failure to secure a priority."
N=5 one-item-per-agent diffusion,84,91,"In N=5 runs, final allocation assigned exactly one item to each agent."
