kind,source_order_number,source_path,line,labels,audit_ids,graphic_inputs
figure,1,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/1_intro.tex,13,fig:flow,e40,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/Hero_Figure_1_stuffs.pdf
figure,2,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/3_approach.tex,42,fig:bilateral_overview,e01;e02;e03,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/bilateral_overview_combined.png
figure,3,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/3_approach.tex,81,fig:fairshare_headline,e19;e20;e21,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/fairshare_residual_and_role_endpoint_combined.png
figure,4,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,10,fig:n2_qualitative,e24,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/qualitative_n2/n2_qualitative_halfwidth_stacked.pdf
figure,5,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,29,fig:ttc_scatter,e07;e08;e09,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/ttc_game_averaged_target_payoff_vs_compute_halfwidth.pdf
figure,6,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,46,fig:multiagent_hetero_payoff,e10,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/qualitative_ttc/heterogenous_game1_payoff_singlecolumn.png
figure,7,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,61,fig:monoculture_payoff_variance,e16;e17;e18,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix_multiagent/payoff_variance_homogeneous_runs.pdf
figure,8,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,68,fig:gemini_3p1_pro_monoculture,e27,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/gemini_coalition_dialogue_slide_inline_membership.png
figure,9,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,79,fig:coalition_scaling_game_family_elo,e26,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix_multiagent/coalition_scaling_game_family_elo.pdf
figure,10,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,91,fig:gpt54_team_coordination,e28,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/gpt54_payoff_ratio_plus_optimal_nano_team.pdf
figure,11,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/4_analysis.tex,98,fig:gpt54_nano_coalition_dynamics,e29,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/gpt54_nano_coalition_dynamics_slide.png
table,1,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,12,tab:appendix_experiment_inventory,e41,
table,2,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,39,tab:appendix_game_sizes,e37;e38;e39;e41,
table,3,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,129,tab:appendix_bilateral_roster,e41,
table,4,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,179,tab:appendix_multiagent_focal_roster,e41,
table,5,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,201,tab:appendix_alternative_homogeneous_roster,e41,
figure,12,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,275,fig:appendix_multiagent_homo_adversary_payoff_variance,e22,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/homogeneous_adversary_payoff_variance_and_role_payoff.png
figure,13,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,282,fig:multiagent_homo_adversary,e23,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/homogeneous_adversary_baseline_only_vs_all_payoff_gini.png
figure,14,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,337,fig:appendix_lmarena_snapshot_comparison,e35,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix/bilateral_payoff_march31_vs_august2026_lmarena_elo.pdf
figure,15,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,357,fig:appendix_alternative_capability_measures,e36,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix/capability_benchmarks_over20.pdf
figure,16,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,376,fig:n2_adversary_payoff_by_competition,e01;e02;e03,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/01_02_adversary_payoff_combined.png
table,6,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,383,tab:n2_headline_slopes,e01;e02;e03;e04;e05;e06,
figure,17,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,410,fig:appendix_n2_welfare;fig:n2_optimality,e31,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/10_total_welfare_by_competition_ewma.png
figure,18,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,424,fig:n2_fairness,e19,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/11_fairness_distance_overall.png;/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/12_fairness_distance_by_competition.png;/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/13_fairness_excess_by_role_overall.png
table,7,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,440,tab:llama_replication,e04;e05;e06,
figure,19,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,457,fig:appendix_llama_overall,e04;e05;e06,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix_llama/llama33_overall_utility_overlay_1x3.png
table,8,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,470,tab:appendix_ttc_overall,e07;e08;e09,
figure,20,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,504,fig:appendix_n2_baseline_random_pairings,e32,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/n2_baseline_vs_heterogeneous_pairings.png
figure,21,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,516,fig:appendix_n2_rounds_to_consensus,e33,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n2_gpt5_nano/07_08_rounds_to_consensus_combined.png
figure,22,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,528,fig:appendix_n2_order,e34,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix/bilateral_order_diagnostics_gpt5_nano_order_1x3.png
