adversary_model,adversary_short,adversary_elo,num_runs,avg_baseline_utility,std_baseline_utility
llama-3.2-1b-instruct,Llama 3.2 1B,1110,23,55.42279333913043,18.036490652093843
phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,1128,22,58.043411363636366,19.78430565928419
qwq-32b-preview,qwq-32b-preview,1156,28,65.70671881767858,20.684957900592636
llama-3.2-3b-instruct,Llama 3.2 3B,1166,25,64.3661531084,20.564949697746005
llama-3.1-8b-instruct,Llama 3.1 8B,1211,28,67.75974285714285,16.924775336331827
amazon-nova-micro-v1.0,Nova Micro,1240,28,62.240543901071426,22.62615030424517
claude-3-haiku-20240307,Claude 3 Haiku,1260,28,67.59642857142858,19.314511238645284
command-r-plus-08-2024,Command R+,1276,28,60.371604443857144,21.946443079950907
amazon-nova-pro-v1.0,Nova Pro,1290,27,66.65475934814815,18.85352203577333
qwen2.5-72b-instruct,Qwen2.5 72B,1302,27,70.06111111111112,18.75862435399571
gpt-4o-mini-2024-07-18,GPT-4o mini,1317,26,61.50399226807693,21.493877900916228
llama-3.3-70b-instruct,Llama 3.3 70B,1318,28,63.47668571428572,22.393314385160874
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,24,66.15847583333333,16.64721311429031
qwq-32b,QwQ-32B,1336,28,67.289,18.188687047173033
gpt-4o-2024-05-13,GPT-4o,1345,27,61.54722766666667,22.13659127324532
deepseek-v3,DeepSeek V3,1358,28,65.71087306139286,22.96048908590866
o3-mini-high,o3-mini-high,1363,26,60.94488615573077,21.862315981056632
gemma-3-27b-it,Gemma 3 27B,1365,26,65.33460161538461,20.259300665332127
claude-sonnet-4-20250514,Sonnet 4,1389,28,62.282016428571424,19.22671305751086
deepseek-r1,DeepSeek R1,1398,28,63.87996428571429,16.348384652580343
claude-haiku-4-5-20251001,Haiku 4.5,1407,28,64.67947857142858,19.195740675107317
deepseek-r1-0528,DeepSeek R1-0528,1422,28,64.20607142857143,18.041388792615898
qwen3-max-preview,Qwen3 Max,1435,28,64.72570714285715,20.490548637044636
gemini-2.5-pro,Gemini 2.5 Pro,1448,28,61.850703214285716,19.33362326423083
claude-opus-4-5-20251101,Opus 4.5,1468,28,60.756142857142855,20.55924330999543
claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,28,63.39035714285715,18.962346426940577
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,28,64.07664285714286,20.467523957330002
gpt-5.4-high,GPT-5.4 High,1484,28,64.80753928571428,20.457463152379294
gemini-3-pro,Gemini 3 Pro,1486,28,63.010714285714286,19.39929397253037
claude-opus-4-6,Opus 4.6,1499,28,61.61505325,20.44883607618369
claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,28,60.33896428571428,19.306874289230585
