figure_id,paper_section,tex_source,tex_line,latex_label,graphic_path,resolution_status,sha256,provenance_ref,retention_status,notes
N001,main,1_intro.tex,26,fig:flow,neurips/graphics/Hero_Figure_1.png,missing,,F004,retain,The literal path is missing; the existing compile log appears to predate this path.
N002,main,4_analysis.tex,11,fig:n2_baseline_payoff,graphics/n2_gpt5_nano/bilateral_overview_combined.png,present,3fb06c31fe65eea10a55121ed23d21abf15b13ae630313855b5be1bf07209820,F001,retain,Shared figure with a root-specific rendered file.
N003,main,4_analysis.tex,21,fig:multiagent_fairness_residual,graphics/n2_gpt5_nano/fairshare_residual_combined.png,present,fc9cc6d9c6e4fe8d3d9235c7fabe8ad4310770382f0c3d848b22052e42407739,F008,retain,Shared figure with a root-specific rendered file.
N004,main,4_analysis.tex,67,fig:n2_qualitative,graphics/qualitative_n2/n2_group_payoff_corr.png,present,1bcfdf916371d90bb28b89c1668d2012c4f11b7d8fed05394dffe77a940dedcd,F002,retain,Active as a separate panel only in the NeurIPS root.
N005,main,4_analysis.tex,71,fig:n2_qualitative,graphics/qualitative_n2/n2_group_intensity_vs_elo.png,present,1113d4c52d30f0890af1a6da859786a3e72b842c2235566f4b6421241e2a994b,F002,retain,Active as a separate panel only in the NeurIPS root.
N006,main,4_analysis.tex,97,fig:ttc_scatter,graphics/ttc_game_averaged_target_payoff_vs_compute.png,present,54300ec4a6cd304bc8212bf71dd491a68cd6e7f8acd84f6f255a24182d018ae9,F003,retain,Shared figure with a root-specific rendered file.
N007,main,4_analysis.tex,105,fig:multiagent_hetero_payoff,graphics/qualitative_ttc/ttc_and_hetero_stacked.png,present,35c67f849ca668c529e2ef491282c3c471aefe993f92dda7d85fd18c6114fc68,F020;F028,retain,Active only in the NeurIPS root; final stack composition code was not found.
N008,main,4_analysis.tex,156,fig:multiagent_hetero_vs_homo_gini,graphics/multiagent_gini/heterogeneous_vs_homogeneous_gini_bars.png,present,bbec9af8238bf1ee66d3a18eb1a41a5fad10a420521976eaf580aad99d8a3d19,F034,retain,Shared figure with a root-specific rendered file.
N009,main,4_analysis.tex,174,fig:multiagent_homo_adversary,graphics/n_gt_2_report/homogeneous_adversary_baseline_only_vs_all_payoff_gini.png,present,0ddb5358073db42786b1802e807afd510bfc0cbf9f31fa6148d983d043d69724,scripts/plot_homogeneous_adversary_baseline_vs_all_gini.py,retain,Active as a separate panel only in the NeurIPS root.
N010,main,4_analysis.tex,178,fig:multiagent_homo_adversary,graphics/n_gt_2_report/homogeneous_adversary_role_payoff_vs_adversary_elo_within_run_variance_bars_tall_y40_60_no_errorbars.png,present,696b5e09f3f0eced71ba48de0ae336b4a96aabc067b5f875f33829d86b263644,scripts/plot_role_payoff_with_within_run_variance_bars.py,retain,Active as a separate panel only in the NeurIPS root.
