experiment_group,model_normalized,samples,samples_with_json_error,sample_json_error_pct,n_scope,arena_elo
heterogeneous,amazon-nova-micro-v1.0,262,16,6.106870229007633,N>2,1240
heterogeneous,amazon-nova-pro-v1.0,193,31,16.06217616580311,N>2,1290
heterogeneous,claude-3-haiku-20240307,220,212,96.36363636363636,N>2,1260
heterogeneous,claude-haiku-4-5-20251001,247,46,18.62348178137652,N>2,1407
heterogeneous,claude-opus-4-5-20251101,351,5,1.4245014245014245,N>2,1468
heterogeneous,claude-opus-4-6,362,9,2.4861878453038675,N>2,1499
heterogeneous,claude-sonnet-4-20250514,265,35,13.20754716981132,N>2,1389
heterogeneous,command-r-plus-08-2024,221,4,1.809954751131222,N>2,1276
heterogeneous,deepseek-r1-0528,234,18,7.6923076923076925,N>2,1422
heterogeneous,deepseek-v3,257,19,7.392996108949417,N>2,1358
heterogeneous,gemini-2.5-pro,223,0,0.0,N>2,1448
heterogeneous,gemini-3.1-pro-preview,228,0,0.0,N>2,1494
heterogeneous,gemma-3-27b-it,212,2,0.9433962264150944,N>2,1365
heterogeneous,gpt-4.1-nano-2025-04-14,219,6,2.73972602739726,N>2,1322
heterogeneous,gpt-4o-2024-05-13,245,15,6.122448979591836,N>2,1345
heterogeneous,gpt-4o-mini-2024-07-18,216,49,22.685185185185187,N>2,1317
heterogeneous,gpt-5-nano-high,217,42,19.35483870967742,N>2,1337
heterogeneous,gpt-5.2-chat-latest-20260210,220,1,0.45454545454545453,N>2,1478
heterogeneous,gpt-5.4-high,213,4,1.8779342723004695,N>2,1484
heterogeneous,llama-3.3-70b-instruct,228,28,12.280701754385964,N>2,1318
heterogeneous,o3-mini-high,255,1,0.39215686274509803,N>2,1363
heterogeneous,qwen3-max-preview,230,0,0.0,N>2,1435
homogeneous,amazon-nova-micro-v1.0,208,22,10.576923076923077,N>2,1240
homogeneous,claude-sonnet-4-20250514,207,7,3.3816425120772946,N>2,1389
homogeneous,gemini-2.5-pro,208,0,0.0,N>2,1448
homogeneous,gpt-4o-mini-2024-07-18,207,34,16.425120772946862,N>2,1317
homogeneous,gpt-5-nano-high,985,213,21.6243654822335,N>2,1337
homogeneous,gpt-5.4-high,51,0,0.0,N>2,1484
