experiment_group,config_id,game,game_type,n_agents,run_name,agent_id,round,phase,interaction_phase,proposal_repair_attempt,model_name,model_normalized,parse_error_type,parse_error_message,error_cause,current_parser_parseable,raw_preview,n_gt_2,arena_elo
homogeneous,3,game1,item_allocation,2,config_0003_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed1,Agent_1,1,proposal,proposal_round_1_invalid_attempt_0,0.0,amazon/nova-micro-v1,amazon-nova-micro-v1.0,JSONDecodeError,Expecting value: line 4 column 17 (char 59),JSON comments inside arrays/objects,True,"{\n    ""allocation"": {\n        ""Agent_1"": [\n            2,  // Jewel\n            4   // Pencil\n        ],\n        ""Agent_2"": [\n            1,  // Jewel\n            3   // Quill\n        ]\n    },\n    ""reasoning"": ""Agent_1 prioritizes securing the Jewel, so they take it along with the Pencil. Agent_2 gives up the Pencil to Agent_1 to gain the Jewel and focuses on securing Quill. This initial one-round allocation allows both agents to secure their top-priority items and sets a foundation f",False,1240
homogeneous,6,game1,item_allocation,2,config_0006_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed2,Agent_2,2,proposal,proposal_round_2_invalid_attempt_0,0.0,amazon/nova-micro-v1,amazon-nova-micro-v1.0,JSONDecodeError,Expecting value: line 4 column 25 (char 67),JSON comments inside arrays/objects,True,"{\n    ""allocation"": {\n        ""Agent_1"": [\n            4,          // Pencil (value 1)\n            3           // Quill (value 32)\n        ],\n        ""Agent_2"": [\n            1,          // Jewel (value 68)\n            2            // Stone (value 0, but implied protection and future paths)\n        ]\n    },\n    ""reasoning"": ""Agent_2 secures Jewel for immediate value, while Agent_1 gets immediate compensation with Pencil and Quill. A short-term coalition is proposed to block others fro",False,1240
homogeneous,136,game1,item_allocation,2,config_0136_game1_homogeneous_adversary_n2_comp_0p75_gpt_4o_mini_2024_07_18_last_seed2,Agent_1,3,private_thinking,private_thinking_round_3,,gpt-5-nano,gpt-5-nano-high,JSONDecodeError,Invalid control character at: line 2 column 842 (char 843),unescaped newline/control char in JSON string,True,"{\n  ""reasoning"": ""From the prior rounds, it’s clear that Agent_2 places the Jewel as their non-negotiable top priority, with Apple as a meaningful secondary concession target. They’re open to multi-item packages and prefer keeping Jewel if the overall package clearly compensates for its value. I place Pencil first, then Quill, with Jewel, Stone, and Apple serving as levers to construct balanced, parity-focused trades. The tension revolves around moving my top items (Pencil, Quill) while ensurin",False,1337
homogeneous,139,game1,item_allocation,2,config_0139_game1_homogeneous_adversary_n2_comp_0p75_claude_sonnet_4_20250514_last_seed1,Agent_1,1,private_thinking,private_thinking_round_1,,gpt-5-nano,gpt-5-nano-high,JSONDecodeError,"Expecting ',' delimiter: line 3 column 1046 (char 3145)",missing comma/quote delimiter,False,"{\n  ""reasoning"": ""From the exchanges, I learn that Agent_2 discounts Jewel heavily (Jewel is their lowest priority at 4) and places high importance on Apple and Stone (27 each) and Quill (24). They view Jewel as a bargaining chip to be exchanged mainly for their top items. They propose either a simple split with later tweaks or a package that heavily favors their top items, sometimes at the cost of fair balance. The key takeaway: Jewel is my strongest lever, but I must avoid being forced into a",False,1337
homogeneous,170,game1,item_allocation,2,config_0170_game1_homogeneous_control_n2_comp_1p0_seed2,Agent_1,4,private_thinking,private_thinking_round_4,,gpt-5-nano,gpt-5-nano-high,JSONDecodeError,"Expecting ',' delimiter: line 5 column 702 (char 2077)",missing comma/quote delimiter,False,"{\n  ""reasoning"": ""From prior rounds, Pencil and Quill are the strongest anchors for both sides, with Pencil (46) driving most decisions. There’s broad willingness to pursue a two-round, auditable path, but parties demand fixed handbacks and credits to prevent value leakage. The other agent highly prioritizes keeping Pencil in play while seeking a credible route to recover its value by Round 3. The near-term concessions (Apple, Jewel, Stone) are most defensible when tied to a precise Round 3 pay",False,1337
homogeneous,182,game1,item_allocation,2,config_0182_game1_homogeneous_adversary_n2_comp_1p0_claude_sonnet_4_20250514_last_seed2,Agent_2,4,proposal,proposal_round_4_invalid_attempt_2,2.0,claude-sonnet-4-20250514,claude-sonnet-4-20250514,JSONDecodeError,Expecting property name enclosed in double quotes: line 1 column 2 (char 1),prose before JSON object,False,"[Round 4 | Proposal] I propose: {'Agent_1': [4], 'Agent_2': [0, 1, 2, 3]}",False,1389
homogeneous,219,game1,item_allocation,4,config_0219_game1_homogeneous_adversary_n4_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1,Agent_4,1,proposal,proposal_round_1_invalid_attempt_0,0.0,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,JSONDecodeError,Expecting value: line 4 column 17 (char 59),JSON comments inside arrays/objects,True,"{\n    ""allocation"": {\n        ""Agent_1"": [\n            7,  // Camera (high value for Agent_1)\n            4,  // Quill (zero value but available)\n            8   // Clock (zero value but available)\n        ],\n        ""Agent_2"": [\n            0,  // Pencil (high value for Agent_2)\n            5,  // Book (zero value but available)\n            9   // Ring (zero value but available)\n        ],\n        ""Agent_3"": [\n            1,  // Jewel (high value for Agent_3)\n            6   // Ha",True,1317
homogeneous,253,game1,item_allocation,4,config_0253_game1_homogeneous_control_n4_comp_0p25_seed1,Agent_2,1,private_thinking,private_thinking_round_1,,gpt-5-nano,gpt-5-nano-high,JSONDecodeError,"Expecting ',' delimiter: line 6 column 1 (char 2407)",missing comma/quote delimiter,False,"{\n  ""reasoning"": ""From the discussion so far, it’s clear others are aiming for a coalition mechanism that fairly rewards contributions while securing Camera and Ring. Agent_1 emphasizes a written, staged framework with minimum guarantees and proportional initial allocation. Agent_2 prioritizes protecting Pencil and Stone as anchors and pursuing Camera/Ring via bundles with timing clarity. Agent_3 supports anchors (Stone/Quill) and using other items as leverage, demanding upfront allocation form",True,1337
homogeneous,256,game1,item_allocation,4,config_0256_game1_homogeneous_adversary_n4_comp_0p25_amazon_nova_micro_v1p0_first_seed2,Agent_1,1,proposal,proposal_round_1_invalid_attempt_0,0.0,amazon/nova-micro-v1,amazon-nova-micro-v1.0,JSONDecodeError,Expecting value: line 4 column 17 (char 59),JSON comments inside arrays/objects,True,"{\n    ""allocation"": {\n        ""Agent_1"": [\n            4,  // Pencil (index 4)\n            6,  // Book (index 6)\n            8  // Camera (index 8)\n        ],\n        ""Agent_2"": [\n            1,  // Jewel (index 1)\n            5,  // Hat (index 5)\n            9   // Ring (index 9)\n        ],\n        ""Agent_3"": [\n            2,  // Stone (index 2)\n            7   // Clock (index 7)\n        ],\n        ""Agent_4"": [\n            0,  // Apple (index 0)\n            3,  // Quill (index",True,1240
homogeneous,262,game1,item_allocation,4,config_0262_game1_homogeneous_adversary_n4_comp_0p25_gpt_4o_mini_2024_07_18_last_seed2,Agent_4,1,proposal,proposal_round_1_invalid_attempt_0,0.0,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,JSONDecodeError,Expecting value: line 4 column 16 (char 58),JSON comments inside arrays/objects,True,"{\n    ""allocation"": {\n        ""Agent_1"": [\n            7, // Camera\n            0, // Apple\n            1  // Jewel\n        ],\n        ""Agent_2"": [\n            4, // Quill\n            5, // Book\n            2  // Stone\n        ],\n        ""Agent_3"": [\n            3, // Pencil\n            6  // Hat\n        ],\n        ""Agent_4"": [\n            8, // Ring\n            9  // Clock\n        ]\n    },\n    ""reasoning"": ""This allocation ensures that Agent_1 secures the Camera, which is t",True,1317
homogeneous,263,game1,item_allocation,4,config_0263_game1_homogeneous_adversary_n4_comp_0p25_claude_sonnet_4_20250514_first_seed1,Agent_2,1,private_thinking,private_thinking_round_1,,gpt-5-nano,gpt-5-nano-high,JSONDecodeError,"Expecting ',' delimiter: line 5 column 201 (char 1994)",missing comma/quote delimiter,False,"{\n  ""reasoning"": ""From the discussions, Agent_1 is prioritizing Clock and Apple (their top two), with Hat as a minor concession. Agent_2 (myself) clearly values Ring the most (52) and Stone (16) as a strong secondary. Agent_3 prioritizes Camera (their absolute top) and Stone (20) as a strong secondary, with Apple (18) also appearing as a valued item. Agent_4 wants Jewel, Pencil, and Quill as their core high-value non-top-tier trio. The group consensus suggests keeping Ring with Agent_2, protect",True,1337
homogeneous,267,game1,item_allocation,4,config_0267_game1_homogeneous_adversary_n4_comp_0p25_gemini_2p5_pro_first_seed1,Agent_3,1,private_thinking,private_thinking_round_1,,gpt-5-nano,gpt-5-nano-high,JSONDecodeError,"Expecting ',' delimiter: line 6 column 1 (char 2052)",missing comma/quote delimiter,False,"{\n  ""reasoning"": ""High-level assessment: The table-friendly four-way structure appears viable, with each agent signaling clear top targets. Agent_3’s strongest personal priority is Quill + Apple; Agent_1 aims for Jewel + Camera (with Ring as a possible complement); Agent_2 prioritizes Hat + Stone; Agent_4 prioritizes Pencil + Clock. The cleanest path for me (Agent_3) is to secure Quill + Apple in round 1, while accepting balanced allocations for the others (Hat+Stone to Agent_2, Pencil+Clock to",True,1337
