focal_model,n_agents,competition_level,pair_state,total_pairs,pairs_with_quota_hit
gemini-2.5-pro,3,0.0,INCOMPLETE,7,0
gemini-2.5-pro,3,0.0,SUCCESS,3,0
gemini-2.5-pro,3,0.5,INCOMPLETE,7,0
gemini-2.5-pro,3,0.5,SUCCESS,3,1
gemini-2.5-pro,3,0.9,INCOMPLETE,7,0
gemini-2.5-pro,3,0.9,SUCCESS,3,1
gemini-2.5-pro,3,1.0,INCOMPLETE,7,0
gemini-2.5-pro,3,1.0,SUCCESS,3,1
gemini-2.5-pro,5,0.0,INCOMPLETE,9,1
gemini-2.5-pro,5,0.0,SUCCESS,1,1
gemini-2.5-pro,5,0.5,INCOMPLETE,10,3
gemini-2.5-pro,5,0.9,INCOMPLETE,9,2
gemini-2.5-pro,5,0.9,SUCCESS,1,1
gemini-2.5-pro,5,1.0,INCOMPLETE,8,1
gemini-2.5-pro,5,1.0,SUCCESS,2,2
gemini-3-pro,3,0.0,SUCCESS,10,0
gemini-3-pro,3,0.5,INCOMPLETE,7,7
gemini-3-pro,3,0.5,SUCCESS,3,0
gemini-3-pro,3,0.9,INCOMPLETE,9,9
gemini-3-pro,3,0.9,SUCCESS,1,1
gemini-3-pro,3,1.0,INCOMPLETE,10,10
gemini-3-pro,5,0.0,INCOMPLETE,10,10
gemini-3-pro,5,0.5,INCOMPLETE,10,10
gemini-3-pro,5,0.9,INCOMPLETE,10,10
gemini-3-pro,5,1.0,INCOMPLETE,10,10
