audit_id,result,report_path,dependency_report_path,needed_entries,unresolved_count
e01_primary_game1,Primary fixed GPT-5-nano Game1 payoff and competition trends,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e01_primary_game1.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e01_primary_game1.json,1308,7
e02_primary_game2,"Primary Game2 540 two-player fixed GPT-5-nano runs, payoff capability and competition trends",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e02_primary_game2.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e02_primary_game2.json,1130,6
e03_primary_game3,540 primary two-player Game3 fixed GPT-5-nano capability payoff and competition/baseline trends,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e03_primary_game3.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e03_primary_game3.json,1141,9
e04_llama_game1,Game 1 Llama 3.3 fixed-baseline 140-run replication,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e04_llama_game1.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e04_llama_game1.json,322,5
e05_llama_game2,Llama baseline Game2 replication 180 runs,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e05_llama_game2.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e05_llama_game2.json,43,5
e06_llama_game3,Llama baseline Game3 180 runs,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e06_llama_game3.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e06_llama_game3.json,31,5
e07_ttc_gpt5,GPT-5 requested-effort endpoint gain+3.45 and roughly50Elo across ten seeds,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e07_ttc_gpt5.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e07_ttc_gpt5.json,2266,8
e08_ttc_claude,"Claude Sonnet4.6 TTC endpoint +6.11 payoff and approximate88 Elo, 720 runs/10seeds, including seed612 config142 recovery",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e08_ttc_claude.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e08_ttc_claude.json,2344,7
e09_ttc_gemini,"Gemini3Flash TTC requested-effort near-flat endpoint gain +0.48, four appendix payoff levels",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e09_ttc_gemini.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e09_ttc_gemini.json,58,5
e10_hetero_game1,"Game1 heterogeneous capability scaling across n, competition cells and contribution to Elo-bucket plot",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e10_hetero_game1.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e10_hetero_game1.json,79,7
e11_hetero_game2,Game2 heterogeneous scaling across group size/competition and Game2 component of pooled Elo buckets,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e11_hetero_game2.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e11_hetero_game2.json,64,6
e12_hetero_game3,"Game3 heterogeneous scaling by n and competition, plus contribution to equal-game Elo buckets",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e12_hetero_game3.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e12_hetero_game3.json,36,7
e13_homadv_game1,Game1 homogeneous-adversary scaling and payoff gap across group size,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e13_homadv_game1.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e13_homadv_game1.json,57,5
