adversary_model,adversary_elo,adversary_short,model_order,run_id,rho,theta,competition_index,baseline_utility,adversary_utility,social_welfare,payoff_diff,util_ratio,consensus_reached,final_round
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,4
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,2
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
