experiment_dir,source_batch,agent_id,utility,model_pair,model_order,token_budget_prompted,competition_level,consensus_reached,final_round,total_reasoning_tokens,avg_reasoning_tokens,is_prompted_reasoning,thinking_tokens,reflection_tokens,discussion_tokens,proposal_tokens,voting_tokens,num_interactions,round_1_tokens,round_2_tokens,round_3_tokens,round_4_tokens,round_5_tokens,round_6_tokens,round_7_tokens,round_8_tokens,round_9_tokens,round_10_tokens
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.0,True,1,839,93.22222222222223,True,188.0,0.0,131.0,61.666666666666664,66.0,9,766,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.0,True,1,22144,2460.4444444444443,False,2688.0,0.0,3882.6666666666665,1344.0,960.0,9,18368,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,81.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.25,True,1,2039,226.55555555555554,True,754.0,0.0,267.6666666666667,149.66666666666666,119.5,9,2006,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,54.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.25,True,1,25344,2816.0,False,4544.0,0.0,3584.0,2112.0,2496.0,9,21632,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,84.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.5,True,1,1392,154.66666666666666,True,350.0,0.0,216.33333333333334,118.33333333333333,120.5,9,1354,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,64.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.5,True,1,24576,2730.6666666666665,False,4096.0,0.0,3008.0,2517.3333333333335,2528.0,9,20672,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,62.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.75,True,1,2625,291.6666666666667,True,601.0,0.0,510.0,155.33333333333334,135.0,9,2597,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,69.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,0.75,True,1,22976,2552.8888888888887,False,3328.0,0.0,3584.0,1600.0,1440.0,9,18880,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,87.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,1.0,True,8,26776,411.9384615384615,True,546.375,251.71428571428572,679.2916666666666,179.79166666666666,173.4375,65,4822,3005,3682,2944,2913,2878,3074,3433,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,13.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,100,1.0,True,8,244224,3757.2923076923075,False,4160.0,4361.142857142857,5381.333333333333,1938.6666666666667,1692.0,65,37504,30720,26752,26752,32768,29824,24320,30848,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.0,True,1,1059,117.66666666666667,True,222.0,0.0,218.33333333333334,49.0,36.0,9,1024,0,0,0,0,0,0,0,0,0
