root,current_location,classification,paper_manifest_rows,reason
experiments/results/amazon-nova-micro-v1.0_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/amazon-nova-micro-v1.0_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/amazon-nova-micro_vs_gpt-3.5-turbo-0125_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/amazon-nova-micro_vs_gpt-3.5-turbo-0125_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/amazon-nova-micro_vs_o3-mini-high_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/amazon-nova-micro_vs_o3-mini-high_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/appendix_llama33_baseline_analysis_20260503,experiments/results/appendix_llama33_baseline_analysis_20260503,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/appendix_llama33_baseline_game1_202605,experiments/results/appendix_llama33_baseline_game1_202605,keep_paper_raw,140,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/appendix_llama33_baseline_game2_202605,experiments/results/appendix_llama33_baseline_game2_202605,keep_paper_raw,180,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/appendix_llama33_baseline_game3_202605,experiments/results/appendix_llama33_baseline_game3_202605,keep_paper_raw,180,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/appendix_llama33_baseline_monitoring,experiments/results/TO_DELETE/appendix_llama33_baseline_monitoring,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/backfill_proposals,experiments/results/TO_DELETE/backfill_proposals,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/capability_payoff_scaling_20260505,experiments/results/capability_payoff_scaling_20260505,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/claude-3-5-sonnet_vs_gpt-4o_config_unknown_runs10_diplo_issues5_rhon1_0_theta1_0_lamn1_0,experiments/results/TO_DELETE/claude-3-5-sonnet_vs_gpt-4o_config_unknown_runs10_diplo_issues5_rhon1_0_theta1_0_lamn1_0,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/claude-3-7-sonnet_vs_gpt-4o_config_unknown_runs10_diplo_issues5_rhon1_0_theta1_0_lamn1_0,experiments/results/TO_DELETE/claude-3-7-sonnet_vs_gpt-4o_config_unknown_runs10_diplo_issues5_rhon1_0_theta1_0_lamn1_0,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
