competition_value,competition_curve_label,adversary_model,adversary_short,adversary_elo,num_runs,avg_baseline_utility,std_baseline_utility
0.0,competition=0,llama-3.2-1b-instruct,Llama 3.2 1B,1110,4,69.895775,23.628942814943603
0.0,competition=0,phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,1128,3,96.66666666666667,4.714045207910316
0.0,competition=0,qwq-32b-preview,qwq-32b-preview,1156,4,97.5,4.330127018922194
0.0,competition=0,llama-3.2-3b-instruct,Llama 3.2 3B,1166,4,89.25,14.376630342329875
0.0,competition=0,llama-3.1-8b-instruct,Llama 3.1 8B,1211,4,91.4025,14.891306818073424
0.0,competition=0,amazon-nova-micro-v1.0,Nova Micro,1240,4,100.0,0.0
0.0,competition=0,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,95.25,8.227241335952167
0.0,competition=0,command-r-plus-08-2024,Command R+,1276,4,96.0,6.928203230275509
0.0,competition=0,amazon-nova-pro-v1.0,Nova Pro,1290,4,82.8541256,22.13227663892095
0.0,competition=0,qwen2.5-72b-instruct,Qwen2.5 72B,1302,4,100.0,0.0
0.0,competition=0,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,3,100.0,0.0
0.0,competition=0,llama-3.3-70b-instruct,Llama 3.3 70B,1318,4,100.0,0.0
0.0,competition=0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,4,75.637105,24.85637574834825
0.0,competition=0,qwq-32b,QwQ-32B,1336,4,100.0,0.0
0.0,competition=0,gpt-4o-2024-05-13,GPT-4o,1345,4,97.5,4.330127018922194
0.0,competition=0,deepseek-v3,DeepSeek V3,1358,4,96.5,6.06217782649107
0.0,competition=0,o3-mini-high,o3-mini-high,1363,4,94.75,5.261891294962297
0.0,competition=0,gemma-3-27b-it,Gemma 3 27B,1365,3,96.66666666666667,4.714045207910316
0.0,competition=0,claude-sonnet-4-20250514,Sonnet 4,1389,4,92.25,8.671072598012312
0.0,competition=0,deepseek-r1,DeepSeek R1,1398,4,98.0,3.4641016151377544
0.0,competition=0,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,100.0,0.0
0.0,competition=0,deepseek-r1-0528,DeepSeek R1-0528,1422,4,100.0,0.0
0.0,competition=0,qwen3-max-preview,Qwen3 Max,1435,4,100.0,0.0
0.0,competition=0,gemini-2.5-pro,Gemini 2.5 Pro,1448,4,100.0,0.0
0.0,competition=0,claude-opus-4-5-20251101,Opus 4.5,1468,4,97.5,4.330127018922194
0.0,competition=0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,4,100.0,0.0
0.0,competition=0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,4,100.0,0.0
0.0,competition=0,gpt-5.4-high,GPT-5.4 High,1484,4,97.5,4.330127018922194
0.0,competition=0,gemini-3-pro,Gemini 3 Pro,1486,4,100.0,0.0
0.0,competition=0,claude-opus-4-6,Opus 4.6,1499,4,100.0,0.0
0.0,competition=0,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,100.0,0.0
0.25,competition=0.25,llama-3.2-1b-instruct,Llama 3.2 1B,1110,4,47.6988267,26.216249247954725
0.25,competition=0.25,phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,1128,4,42.875800000000005,12.386371434766517
0.25,competition=0.25,qwq-32b-preview,qwq-32b-preview,1156,4,80.475,12.250586720643222
0.25,competition=0.25,llama-3.2-3b-instruct,Llama 3.2 3B,1166,4,71.75,17.82379028153103
0.25,competition=0.25,llama-3.1-8b-instruct,Llama 3.1 8B,1211,4,76.425,14.485919887946364
0.25,competition=0.25,amazon-nova-micro-v1.0,Nova Micro,1240,4,60.5579625,13.942844229360762
0.25,competition=0.25,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,78.075,12.622078869980173
0.25,competition=0.25,command-r-plus-08-2024,Command R+,1276,4,73.845,9.871629804647252
0.25,competition=0.25,amazon-nova-pro-v1.0,Nova Pro,1290,3,87.03333333333335,8.497189077702236
0.25,competition=0.25,qwen2.5-72b-instruct,Qwen2.5 72B,1302,4,87.925,4.595310109230931
0.25,competition=0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,77.875,14.064027694796396
0.25,competition=0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1318,4,80.5,9.810708435174291
0.25,competition=0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,4,80.275,10.783175552683913
0.25,competition=0.25,qwq-32b,QwQ-32B,1336,4,82.5,4.5
0.25,competition=0.25,gpt-4o-2024-05-13,GPT-4o,1345,4,72.6,7.718808198161165
0.25,competition=0.25,deepseek-v3,DeepSeek V3,1358,4,85.25,3.6996621467371855
0.25,competition=0.25,o3-mini-high,o3-mini-high,1363,4,80.33475,9.475952336704735
0.25,competition=0.25,gemma-3-27b-it,Gemma 3 27B,1365,4,78.825,19.54819365056526
0.25,competition=0.25,claude-sonnet-4-20250514,Sonnet 4,1389,4,75.6625,5.92741248353782
0.25,competition=0.25,deepseek-r1,DeepSeek R1,1398,4,69.55,6.197378478034079
0.25,competition=0.25,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,73.295,6.424256766350483
0.25,competition=0.25,deepseek-r1-0528,DeepSeek R1-0528,1422,4,75.775,3.0662477068886687
0.25,competition=0.25,qwen3-max-preview,Qwen3 Max,1435,4,84.75,6.53356717268599
0.25,competition=0.25,gemini-2.5-pro,Gemini 2.5 Pro,1448,4,66.9574225,11.407163693509386
0.25,competition=0.25,claude-opus-4-5-20251101,Opus 4.5,1468,4,73.05,11.171727708819258
0.25,competition=0.25,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,4,70.4875,7.217199508812265
0.25,competition=0.25,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,4,86.175,8.279002053387837
0.25,competition=0.25,gpt-5.4-high,GPT-5.4 High,1484,4,87.5,8.04673846971554
0.25,competition=0.25,gemini-3-pro,Gemini 3 Pro,1486,4,78.65,5.382146411981007
0.25,competition=0.25,claude-opus-4-6,Opus 4.6,1499,4,72.325,3.9008813106783964
0.25,competition=0.25,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,71.25,6.94172168845741
0.5,competition=0.5,llama-3.2-1b-instruct,Llama 3.2 1B,1110,4,55.423825,6.212854649183015
0.5,competition=0.5,phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,1128,2,64.141,21.858999999999998
0.5,competition=0.5,qwq-32b-preview,qwq-32b-preview,1156,4,72.35,12.168298977260545
0.5,competition=0.5,llama-3.2-3b-instruct,Llama 3.2 3B,1166,4,58.95,18.319593336097828
0.5,competition=0.5,llama-3.1-8b-instruct,Llama 3.1 8B,1211,4,66.21000000000001,9.07371478502603
0.5,competition=0.5,amazon-nova-micro-v1.0,Nova Micro,1240,4,72.625,14.888649199977815
0.5,competition=0.5,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,68.325,6.29816441512922
0.5,competition=0.5,command-r-plus-08-2024,Command R+,1276,4,61.934250000000006,18.578550379066176
0.5,competition=0.5,amazon-nova-pro-v1.0,Nova Pro,1290,4,76.175,11.622903036677195
0.5,competition=0.5,qwen2.5-72b-instruct,Qwen2.5 72B,1302,4,66.45,9.607679220290402
0.5,competition=0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,65.622,12.708290679709838
0.5,competition=0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1318,4,76.25,9.54921462739214
0.5,competition=0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,4,70.25,9.756408150543928
0.5,competition=0.5,qwq-32b,QwQ-32B,1336,4,69.75,6.609652033201143
0.5,competition=0.5,gpt-4o-2024-05-13,GPT-4o,1345,4,71.05,13.161591849012794
0.5,competition=0.5,deepseek-v3,DeepSeek V3,1358,4,79.95,8.252726822087352
0.5,competition=0.5,o3-mini-high,o3-mini-high,1363,4,59.295,10.150422405003647
0.5,competition=0.5,gemma-3-27b-it,Gemma 3 27B,1365,3,70.1521,13.310862812755603
0.5,competition=0.5,claude-sonnet-4-20250514,Sonnet 4,1389,4,69.4,9.234717104492155
0.5,competition=0.5,deepseek-r1,DeepSeek R1,1398,4,58.884750000000004,3.6572315605523236
0.5,competition=0.5,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,71.1425,7.018469829670851
0.5,competition=0.5,deepseek-r1-0528,DeepSeek R1-0528,1422,4,58.55,1.627114009527296
0.5,competition=0.5,qwen3-max-preview,Qwen3 Max,1435,4,67.25,9.522998477370455
0.5,competition=0.5,gemini-2.5-pro,Gemini 2.5 Pro,1448,4,64.3225,7.570866446451158
0.5,competition=0.5,claude-opus-4-5-20251101,Opus 4.5,1468,4,64.5,2.692582403567252
0.5,competition=0.5,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,4,64.745,11.88970458001375
0.5,competition=0.5,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,4,65.32,4.472940867035915
0.5,competition=0.5,gpt-5.4-high,GPT-5.4 High,1484,4,67.375,12.466830992678132
0.5,competition=0.5,gemini-3-pro,Gemini 3 Pro,1486,4,60.3,5.989156868875617
0.5,competition=0.5,claude-opus-4-6,Opus 4.6,1499,4,70.5,9.937303457175895
0.5,competition=0.5,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,54.0675,6.965175428515781
0.75,competition=0.75,llama-3.2-1b-instruct,Llama 3.2 1B,1110,3,53.0,2.943920288775949
0.75,competition=0.75,phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,1128,2,47.69092500000001,9.309074999999996
0.75,competition=0.75,qwq-32b-preview,qwq-32b-preview,1156,4,61.25,9.093266739736606
0.75,competition=0.75,llama-3.2-3b-instruct,Llama 3.2 3B,1166,4,52.1,1.7691806012954134
0.75,competition=0.75,llama-3.1-8b-instruct,Llama 3.1 8B,1211,4,59.366200000000006,12.691237816698573
0.75,competition=0.75,amazon-nova-micro-v1.0,Nova Micro,1240,4,55.645775,8.218517266020374
0.75,competition=0.75,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,54.75,9.781998773256925
0.75,competition=0.75,command-r-plus-08-2024,Command R+,1276,4,47.855840125,17.486990242282406
0.75,competition=0.75,amazon-nova-pro-v1.0,Nova Pro,1290,4,71.28800000000001,9.881337561281871
0.75,competition=0.75,qwen2.5-72b-instruct,Qwen2.5 72B,1302,4,65.775,3.3093617209365345
0.75,competition=0.75,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,43.2816577425,11.168737301082006
0.75,competition=0.75,llama-3.3-70b-instruct,Llama 3.3 70B,1318,4,53.855000000000004,9.673937926201509
0.75,competition=0.75,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,64.5,0.5
0.75,competition=0.75,qwq-32b,QwQ-32B,1336,4,64.24325,10.88823753816475
0.75,competition=0.75,gpt-4o-2024-05-13,GPT-4o,1345,4,53.975,11.063538086887034
0.75,competition=0.75,deepseek-v3,DeepSeek V3,1358,4,57.65,8.27450904888018
0.75,competition=0.75,o3-mini-high,o3-mini-high,1363,4,58.475,3.4607621992850066
0.75,competition=0.75,gemma-3-27b-it,Gemma 3 27B,1365,4,51.8373355,13.800196839852712
0.75,competition=0.75,claude-sonnet-4-20250514,Sonnet 4,1389,4,53.725,12.66992008656724
0.75,competition=0.75,deepseek-r1,DeepSeek R1,1398,4,57.0,8.514693182963201
0.75,competition=0.75,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,63.0,7.176350047203662
0.75,competition=0.75,deepseek-r1-0528,DeepSeek R1-0528,1422,4,64.0,9.565563234854496
0.75,competition=0.75,qwen3-max-preview,Qwen3 Max,1435,4,47.98785,4.214957042189161
0.75,competition=0.75,gemini-2.5-pro,Gemini 2.5 Pro,1448,4,56.975,11.137857738362436
0.75,competition=0.75,claude-opus-4-5-20251101,Opus 4.5,1468,4,55.75,6.299801584177076
0.75,competition=0.75,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,4,61.5,4.387482193696061
0.75,competition=0.75,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,4,56.0,1.8708286933869707
0.75,competition=0.75,gpt-5.4-high,GPT-5.4 High,1484,4,56.2,6.560868844901564
0.75,competition=0.75,gemini-3-pro,Gemini 3 Pro,1486,4,58.225,10.672950622953334
0.75,competition=0.75,claude-opus-4-6,Opus 4.6,1499,4,51.05,5.0702564037728886
0.75,competition=0.75,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,57.025,7.50345753636282
0.9,competition=0.9,llama-3.2-1b-instruct,Llama 3.2 1B,1110,4,49.493085,7.6416855766038285
0.9,competition=0.9,phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,1128,4,56.1,8.10123447383175
