model,arena_elo
claude-opus-4-6-thinking,1504
claude-opus-4-6,1499
gemini-3-pro,1486
gpt-5.4-high,1484
gpt-5.2-chat-latest-20260210,1478
claude-opus-4-5-20251101-thinking-32k,1474
claude-opus-4-5-20251101,1468
gemini-2.5-pro,1448
qwen3-max-preview,1435
deepseek-r1-0528,1422
claude-haiku-4-5-20251001,1407
claude-sonnet-4-20250514,1389
gemma-3-27b-it,1365
o3-mini-high,1363
deepseek-v3,1358
gpt-4o-2024-05-13,1345
gpt-5-nano-high,1337
gpt-4.1-nano-2025-04-14,1322
llama-3.3-70b-instruct,1318
gpt-4o-mini-2024-07-18,1317
amazon-nova-pro-v1.0,1290
command-r-plus-08-2024,1276
claude-3-haiku-20240307,1260
amazon-nova-micro-v1.0,1240
