run_id,reviewer_mode,outcome_class,does_first_position_look_advantaged,private_thinking_available,reflection_available,core_takeaway,review_path,num_mechanisms
config_0002,child_worker,first_eq_last,False,True,False,"No first-position advantage is evident. Agent_1 opened with its desired Apple/Pencil bundle, but the decisive consensus came from an efficient allocation that gave every agent its full-value top bundle, leaving the first and last positions tied.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0002.json,4
config_0004,child_worker,first_eq_last,False,True,True,"Agent_1 anchored Jewel early, but the first position did not outperform the last position. Agent_3's ability to reject allocations that left it with nothing forced the final accepted three-way split, so Agent_1 and Agent_3 both ended with 90 utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0004.json,4
config_0006,child_worker,first_eq_last,False,True,False,"This is not a first-position advantage case. Agent_1 opened first and kept Quill, but all agents had non-overlapping top-value claims, everyone ended with utility 100, and the first formal proposal was rejected while the later consensus allocations were unanimously accepted.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0006.json,4
config_0008,child_worker,first_lt_last_counterexample,False,True,False,"This is a counterexample to first-position advantage: Agent_1 opened and kept Pencil+Quill for 79 utility, but Agent_3, the last speaker, secured Jewel for 100 in the final allocation. The result was driven less by speaking order than by distinct top-item claims and the need for a proposal that gave Agent_3 Jewel.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0008.json,4
config_0010,child_worker,first_eq_last,False,True,False,"No clear first-position advantage: Agent_1's opening allocation became the consensus template, but every agent received maximum utility and the last-position Agent_3's formal proposal was the one unanimously accepted.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0010.json,4
config_0012,child_worker,first_eq_last,False,True,True,"No first-position payoff advantage appears in this transcript. Agent_1 used the first speaking position to anchor Jewel, but Agent_3's last-position veto power blocked Round 1 when Agent_3 got nothing, and the eventual Round 2 consensus gave all agents equal final utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0012.json,4
config_0014,child_worker,first_gt_last,True,True,True,"Agent_1 looks advantaged over Agent_3 because its opening Jewel-first allocation became the shared baseline and the Pareto-check rule made deviation hard; however, the advantage is not purely positional because Agent_2, speaking second, tied Agent_1, and Agent_3's lower utility came from a lower-valued accepted bundle plus the round-2 discount.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0014.json,4
config_0016,child_worker,first_eq_last,False,True,False,"The first position did not produce an outcome advantage over the last position. Agent_1 used the opening and follow-up discussion to make Quill retention non-negotiable, but the agents' values were separable enough that Agent_3 still received Jewel+Stone and ended with the same 100 utility as Agent_1.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0016.json,3
config_0018,child_worker,first_eq_last,False,True,False,"The first position did not beat the last position. Agent_1 successfully anchored Jewel as non-negotiable, but all agents had non-overlapping 100-value bundles, and the accepted allocation gave Agent_1, Agent_2, and Agent_3 full utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0018.json,4
config_0020,child_worker,first_lt_last_counterexample,False,True,True,"This is a counterexample to a first-position advantage: Agent_1 opened and kept Jewel, but Agent_3's Apple demand was decisive, and the final consensus gave Agent_3 a higher discounted payoff than Agent_1.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0020.json,4
config_0022,child_worker,first_lt_last_counterexample,False,True,True,"This is a counterexample to first-position advantage: Agent_1 spoke first and ultimately authored the accepted allocation, but the deal preserved Agent_3's Stone anchor, which was worth slightly more than Agent_1's Apple+Pencil bundle after discounting.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0022.json,5
config_0026,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 had real agenda-setting influence and ultimately authored the accepted allocation, but the agenda it locked in was Option C: Agent_1 gets only Jewel while Agent_3 gets Stone, Quill, and Pencil. Because Agent_3's protected bundle was worth much more than Agent_1's single item after discounting, this is a counterexample to first-position payoff advantage.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0026.json,5
config_0028,child_worker,first_gt_last,True,True,True,"Agent_1 looks process-advantaged through anchoring: the first speaker named Quill+Pencil for itself in the initial triad, and later discussion, private reasoning, and reflection treated that bundle as fixed. Agent_3 had real veto power over Jewel, so the final deal was not simply Agent_1's proposal, but the consensus protected Agent_1's top pair while Agent_3 settled for Apple+Jewel.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0028.json,6
config_0030,child_worker,first_gt_last,True,True,True,"Agent_1's opening Stone+Apple claim became the stable anchor of the negotiation. Later bargaining mostly shifted to Pencil/Jewel/Quill between Agents 2 and 3, and the final recorded allocation preserved Agent_1's top two items while giving Agent_3 nothing.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0030.json,5
config_0032,child_worker,first_gt_last,True,True,True,"Agent_1 looks process-advantaged: speaking first let it frame Apple as the non-negotiable anchor, and later rounds treated Agent_3's claim as a bounded Pencil concession rather than a serious claim on Jewel or Stone. The final unanimous proposal came from Agent_3, but it accepted the first-position frame and left Agent_1 far ahead of Agent_3.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0032.json,6
config_0034,child_worker,first_gt_last,True,True,True,"Agent_1 beat Agent_3 because the negotiation quickly normalized Agent_1 keeping Jewel+Quill while resolving the remaining conflict around Apple for Agent_3 versus extra value for Agent_2. The process shows some first-position anchoring advantage, but it was amplified by compatible preferences: Agent_1's desired core was valuable to Agent_1 and not central to Agent_3.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0034.json,6
config_0036,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 secured the Apple anchor but not a broader positional advantage. The negotiation converged on Baseline B, where Agent_1 kept only Apple, Agent_2 kept Pencil+Quill, and Agent_3 received Jewel+Stone; that left the last position ahead in final utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0036.json,5
config_0038,child_worker,first_lt_last_counterexample,False,True,False,"Agent_1 anchored early on keeping Jewel and succeeded on that narrow priority, but Agent_3 used the last discussion position to make Option 2 salient: Jewel to Agent_1, Stone + Pencil to Agent_2, and Apple + Quill to Agent_3. All proposals and votes then copied that allocation, leaving Agent_3 with 78 versus Agent_1 with 54.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0038.json,5
config_0040,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 successfully anchored Jewel as noncontroversial, but that anchor did not translate into a first-position payoff advantage. Round 1 deadlocked over Stone, then the group converged on the last speaker's preferred Stone+Apple structure in Round 2, leaving Agent_3 above Agent_1 after discounting.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0040.json,5
config_0042,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 spoke first and initially claimed Pencil, but the first seat did not translate into advantage. The group treated Pencil as a contested public lever and converged on a two-step guardrail that gave Pencil to Agent_2 and Jewel+Quill to Agent_3, leaving Agent_1 with only Apple+Stone and a much lower discounted utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0042.json,6
config_0044,child_worker,first_gt_last,True,True,True,"Agent_1's first-mover Quill claim became the universal anchor from the opening exchange through the winning vote, while Agent_3's last-position Pencil claim was acknowledged but could be reduced to Pencil alone once Stone was needed to satisfy Agent_2.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0044.json,5
config_0046,child_worker,first_gt_last,True,True,False,"Agent_1 appears advantaged because it opened by making Quill a fixed premise, then the other agents negotiated over lower-value leftovers. The final allocation preserved Agent_1's 67-point Quill while Agent_3 accepted Apple+Stone for 35.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0046.json,5
config_0048,child_worker,first_gt_last,True,True,True,"The first position looks advantaged, but mainly because Agent_1's early Pencil+Quill anchor became the repeated default and later survived as Pencil-with-Agent_1 after concessions. Agent_3 repeatedly challenged for Pencil, yet the winning path compensated Agent_2 with Apple+Jewel+Stone and Agent_3 with Quill rather than moving Pencil to the last position.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0048.json,5
config_0050,child_worker,first_gt_last,True,True,True,"The earlier position was advantaged because Agent_1 immediately anchored the negotiation on keeping Apple plus Jewel, and every viable later compromise preserved that anchor. The first proposal did not win unanimously because Agent_2 preferred a larger non-Apple bundle, but the final consensus still kept Agent_1's original Apple+Jewel core while conceding Quill from Agent_3 to Agent_2.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0050.json,5
config_0052,child_worker,first_lt_last_counterexample,False,True,True,"The first speaker gained the Apple anchor but did not turn it into a winning position because Round 1 proposals either overfavored Agent_1/Agent_2 or left Agent_3 empty. The last position, Agent_3, converted the shared recognition that Pencil was the bottleneck into the final Jewel+Pencil baseline, producing the highest utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0052.json,4
config_0058,child_worker,first_gt_last,True,True,True,"The first position looked advantaged because Agent_1 immediately made Pencil retention the table's anchor and every viable later compromise preserved it. The last position, Agent_3, shaped the Jewel constraint but had to concede Apple in the final Pivot 1, and the round-4 discount widened the realized utility gap.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0058.json,5
config_0060,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1's first-mover anchor succeeded only on Pencil, not on surplus capture. The initial self-positioned proposal and later exclusionary variants left Agent_3 with nothing and were rejected; consensus formed only after Agent_1 accepted Pivot A, which preserved Pencil but allocated meaningful non-Pencil bundles to Agent_2 and Agent_3.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0060.json,5
config_0062,child_worker,first_gt_last,True,True,False,"The first position benefited because Agent_1 opened by anchoring Quill as their must-have, then all agents rapidly converged on a three-way baseline that protected Agent_1's top item and gave Agent_3 only Apple+Pencil as a low but acceptable stake.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0062.json,5
config_0066,child_worker,first_gt_last,True,True,True,"The first position was advantaged because Agent_1 immediately anchored Jewel as the focal asset and offered a simple three-way split that later became the repeated A2 consensus frame. The last position was not structurally doomed, but it needed a tangible Agent_3 stake and could not beat the entrenched Jewel-with-Agent_1 norm once agents treated moving Jewel or excluding Agent_3 as destabilizing.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0066.json,5
config_0068,child_worker,first_gt_last,True,True,True,The first position won because the group repeatedly framed the fast consensus path as splitting Jewel and Quill between Agents 2 and 3 while bundling the remaining three items for Agent_1; the final accepted allocation gave Agent_1 the 41-point residual bundle and Agent_3 only Quill.,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0068.json,5
config_0070,child_worker,first_lt_last_counterexample,False,True,True,"The first speaker anchored aggressively on taking both high-value items, but that anchor was consistently rejected as over-concentrated. The negotiation converged only after all agents reframed the deal around a balanced Path B1 that split Pencil and Quill between Agents 3 and 2, leaving Agent_1 with only Apple.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0070.json,5
config_0072,child_worker,first_gt_last,True,True,True,"The first position was advantaged because Agent_1 opened with and repeatedly preserved Apple as the non-negotiable anchor, then kept Jewel as a low-cost add-on. The last position did not beat it because Agent_3's demand was narrowed to a small Pencil-over-Quill improvement rather than a challenge to Apple.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0072.json,5
config_0074,child_worker,first_gt_last,True,True,True,"Agent_1's first-position advantage came less from winning its opening Jewel+Stone maximal ask than from anchoring the negotiation around Agent_1 retaining a solid Stone-based baseline while Agent_3's needs were converted into deferred, nonbinding future-improvement language. By the final round, Agent_1 kept Apple+Stone, Agent_2 held Jewel+Pencil, and Agent_3 was reduced to Quill.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0074.json,5
config_0076,child_worker,first_gt_last,True,True,True,"The first position looked advantaged because Agent_1 immediately made Quill non-negotiable, and all later bargaining adapted around that anchor. The eventual agreement was the same Quill-to-Agent_1 baseline first formalized early, but delayed until round 4, so the last position suffered discounting rather than winning a better allocation.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0076.json,5
config_0078,child_worker,first_gt_last,True,True,True,"The first position was strongly advantaged because Agent_1 spoke first, claimed Jewel as the focal anchor, and every later phase treated that claim as the stability condition. The final fight shifted to how Agents 2 and 3 split the remaining items, while Jewel stayed with Agent_1.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0078.json,5
config_0080,child_worker,first_gt_last,True,True,True,"The first position benefited from anchoring the public negotiation around Quill for Agent_1 and a tight-band fairness norm. The last position repeatedly accepted that frame and ultimately conceded from its preferred Apple+both-chips outcome to Option B, preserving consensus but ending with the lowest discounted utility.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0080.json,5
config_0084,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 anchored Stone but conceded the high-value Jewel path to Agent_5, so the final Plan Alpha consensus favored the last position.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0084.json,5
config_0086,child_worker,first_gt_last,True,True,True,"Agent_1 won because Stone became an unconditional protected anchor, while Agent_5 conceded Jewel and accepted a low-value baseline after its Pencil ask was made conditional.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0086.json,6
config_0090,child_worker,first_lt_last_counterexample,False,True,False,Agent_1 opened by claiming Pencil but then joined the same consensus baseline that gave Agent_5 Quill and left Agent_1 with Stone.,/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0090.json,4
config_0094,child_worker,first_lt_last_counterexample,mixed/unclear,True,False,"Agent_1 set the no-Apple consensus, but Agent_5's protected Jewel was worth far more.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0094.json,4
config_0098,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 shaped the consensus map but Agent_5's protected Jewel was far more valuable, so the last position won on allocation value.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0098.json,5
config_0102,child_worker,first_lt_last_counterexample,False,True,True,"Agent_1 opened first around Stone+Quill, but Agent_5's stronger Stone claim became the coalition baseline; Agent_1 settled for Quill while Agent_5 kept Stone.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0102.json,5
config_0104,child_worker,first_lt_last_counterexample,mixed/unclear,True,False,"Agent_1 kept Stone, but Agent_5 made Jewel a consensus anchor and finished 55 vs 33.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0104.json,6
config_0114,child_worker,first_gt_last,mixed/unclear,True,True,"Agent_1 narrowly beat Agent_5 because Jewel was anchored early and is worth slightly more than Agent_5's Stone, but both positions secured their top item.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0114.json,5
config_0120,child_worker,first_gt_last,True,True,True,"Agent_1 beat Agent_5 because the first turn anchored Quill as Agent_1's protected item and the group later converted that anchor into the stability baseline. Agent_5, despite privately valuing Quill most, publicly defended Jewel and accepted the baseline, so the last position held a much lower-value item.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0120.json,6
config_0136,child_worker,first_gt_last,True,True,False,"Agent_1 beat Agent_5 because the first-speaker Apple claim became the speed-and-fairness anchor for the whole round. Agents 1-4 converged on the same baseline before voting, while Agent_5's late Stone+Pencil push was treated as a destabilizing deviation and rejected by everyone except Agent_5.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0136.json,5
config_0138,child_worker,first_gt_last,True,True,True,"Agent_1 used the first speaking slot to make Quill its non-negotiable priority and frame the rest of the bargain around the other four items. The group repeatedly treated Quill-for-Agent_1 as a core anchor, so Agent_5's higher-valued Stone/Quill interests were never seriously reopened and the final baseline left Agent_1 far ahead of the last speaker.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0138.json,6
config_0140,child_worker,first_gt_last,True,True,True,"Agent_1 appears process-advantaged: its first-turn Baseline A became the negotiation anchor and Quill stayed with Agent_1 through the final deal. The advantage was partial, not absolute, because unanimity forced Pencil to Agent_3 and the final allocation became a one-item-per-agent compromise.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0140.json,5
config_0144,child_worker,first_gt_last,True,True,True,"Agent_1's first position looks advantaged because the negotiation quickly made Apple part of the protected baseline, while Agent_5's path to a slightly better final item was treated as a consent-gated minor refinement and then abandoned. The advantage was not unlimited: Agent_1's richer Round 2 grab failed once it threatened Jewel.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0144.json,5
config_0146,child_worker,first_gt_last,True,True,True,"The earlier position looks advantaged because Agent_1 immediately made Pencil, its uniquely high-value item, the shared anchor. The rest of the negotiation was mostly about allocating Stone, Quill, Apple, and Jewel around that fixed point, so the last position never displaced the first-position claim and ended with a much lower-value item.",/scratch/gpfs/DANQIC/jz4391/bargain/analysis/game1_position_qualitative/subagent_reviews/config_0146.json,5
