config_id,result_path,run_dir,status,started_at,finished_at,duration_seconds,game_label,game_type,experiment_family,n_agents,m_items,n_issues,m_projects,competition_key,competition_value,competition_level,rho,theta,sigma,alpha,random_seed,seed_replicate,heterogeneous_run_index,heterogeneous_draw_seed,adversary_model,adversary_position,model_order,max_tokens_voting,parallel_phases,consensus_reached,final_round,audit_strict_voting_clean,strict_voting_clean,audit_synthetic_vote_count,audit_strict_bad_count,token_limit_marker_count,vote_fallback_log_marker_count,synthetic_vote_marker_count,synthetic_proposal_marker_count,provider_degradation_marker_count,agent_count_in_result,model_list,unique_model_count,mean_utility,sum_utility,utility_gini,elo_variance,elo_std,elo_min,elo_max,adversary_elo,adversary_utility,baseline_mean_utility,baseline_sum_utility,baseline_agent_count
1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1,SUCCESS,2026-04-28T11:25:16.998981,2026-04-28T11:26:40.018343,83.019362,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1874736230,1,,,,,homogeneous_control,,True,True,1,False,True,,,0,0,0,0,0,2,gpt-5-nano+gpt-5-nano,1,100.0,200.0,0.0,0.0,0.0,1337,1337,,,,,0
2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2,SUCCESS,2026-04-28T11:26:11.181764,2026-04-28T11:27:09.884625,58.702861,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,2024377391,2,,,,,homogeneous_control,,True,True,1,False,True,,,0,0,0,0,0,2,gpt-5-nano+gpt-5-nano,1,100.0,200.0,0.0,0.0,0.0,1337,1337,,,,,0
3,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0003_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0003_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed1,SUCCESS,2026-04-28T11:26:10.559147,2026-04-28T11:29:57.338107,226.77896,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,223037668,1,,,amazon-nova-micro-v1.0,first,adversary_first,,True,True,4,False,True,,,0,0,0,1,0,2,amazon-nova-micro-v1.0+gpt-5-nano,2,34.627500000000005,69.25500000000001,0.12105263157894734,2352.25,48.5,1240,1337,1240.0,26.244000000000003,43.011,43.011,1
4,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0004_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0004_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed2,SUCCESS,2026-04-28T11:26:11.182391,2026-04-28T11:28:18.939614,127.757223,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1371447132,2,,,amazon-nova-micro-v1.0,first,adversary_first,,True,True,2,False,True,,,0,0,0,0,0,2,amazon-nova-micro-v1.0+gpt-5-nano,2,40.95,81.9,0.31318681318681324,2352.25,48.5,1240,1337,1240.0,15.3,66.60000000000001,66.60000000000001,1
5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1,SUCCESS,2026-04-28T11:26:46.105009,2026-04-28T11:27:40.047379,53.94237,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1300995756,1,,,amazon-nova-micro-v1.0,last,adversary_last,,True,True,1,False,True,,,0,0,0,0,0,2,gpt-5-nano+amazon-nova-micro-v1.0,2,97.5,195.0,0.01282051282051282,2352.25,48.5,1240,1337,1240.0,95.0,100.0,100.0,1
6,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0006_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0006_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed2,SUCCESS,2026-04-28T11:26:46.077926,2026-04-28T11:28:48.685026,122.6071,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1386065904,2,,,amazon-nova-micro-v1.0,last,adversary_last,,True,True,2,False,True,,,0,0,0,1,0,2,gpt-5-nano+amazon-nova-micro-v1.0,2,90.0,180.0,0.0,2352.25,48.5,1240,1337,1240.0,90.0,90.0,90.0,1
7,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0007_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0007_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed1,SUCCESS,2026-04-28T11:26:46.077925,2026-04-28T11:29:11.261143,145.183218,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1847834857,1,,,gpt-4o-mini-2024-07-18,first,adversary_first,,True,True,2,False,True,,,0,0,0,0,0,2,gpt-4o-mini-2024-07-18+gpt-5-nano,2,68.4,136.8,0.11842105263157895,100.0,10.0,1317,1337,1317.0,52.2,84.60000000000001,84.60000000000001,1
8,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2,SUCCESS,2026-04-28T11:27:16.867909,2026-04-28T11:28:08.744308,51.876399,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,452019306,2,,,gpt-4o-mini-2024-07-18,first,adversary_first,,True,True,1,False,True,,,0,0,0,0,0,2,gpt-4o-mini-2024-07-18+gpt-5-nano,2,100.0,200.0,0.0,100.0,10.0,1317,1337,1317.0,100.0,100.0,100.0,1
9,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1,SUCCESS,2026-04-28T11:27:16.853501,2026-04-28T11:28:32.800913,75.947412,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1813537612,1,,,gpt-4o-mini-2024-07-18,last,adversary_last,,True,True,1,False,True,,,0,0,0,0,0,2,gpt-5-nano+gpt-4o-mini-2024-07-18,2,100.0,200.0,0.0,100.0,10.0,1317,1337,1317.0,100.0,100.0,100.0,1
10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0010_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0010_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed2,SUCCESS,2026-04-28T11:27:47.376917,2026-04-28T11:34:35.453655,408.076738,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1157628703,2,,,gpt-4o-mini-2024-07-18,last,adversary_last,,True,True,4,False,True,,,0,0,0,0,0,2,gpt-5-nano+gpt-4o-mini-2024-07-18,2,55.40400000000001,110.80800000000002,0.0394736842105263,100.0,10.0,1317,1337,1317.0,59.778000000000006,51.03000000000001,51.03000000000001,1
