competition_value,competition_curve_label,adversary_model,adversary_short,adversary_elo,num_runs,avg_baseline_utility,std_baseline_utility
0.0,CI3=0,llama-3.2-1b-instruct,Llama 3.2 1B,1110,10,28.023000000000003,19.61922070317779
0.0,CI3=0,llama-3.2-3b-instruct,Llama 3.2 3B,1166,10,18.83863585,20.651355916593875
0.0,CI3=0,llama-3.1-8b-instruct,Llama 3.1 8B,1211,10,34.78114,14.876401291185982
0.0,CI3=0,amazon-nova-micro-v1.0,Nova Micro,1240,10,27.305,22.471698311431652
0.0,CI3=0,claude-3-haiku-20240307,Claude 3 Haiku,1260,10,31.19962,19.042307835438436
0.0,CI3=0,command-r-plus-08-2024,Command R+,1276,10,29.80808,18.364868798268066
0.0,CI3=0,amazon-nova-pro-v1.0,Nova Pro,1290,10,37.432460000000006,21.220617679615266
0.0,CI3=0,qwen2.5-72b-instruct,Qwen2.5 72B,1302,7,26.285714285714285,16.26314225229452
0.0,CI3=0,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,10,34.7551035489,20.576648360206548
0.0,CI3=0,llama-3.3-70b-instruct,Llama 3.3 70B,1318,10,31.69196,19.0400951093843
0.0,CI3=0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,10,15.757204999999999,16.976980730042225
0.0,CI3=0,qwq-32b,QwQ-32B,1336,10,35.8,19.808079159777204
0.0,CI3=0,gpt-4o-2024-05-13,GPT-4o,1345,10,31.708,22.88631416370928
0.0,CI3=0,deepseek-v3,DeepSeek V3,1358,10,41.78410473,22.704351894116584
0.0,CI3=0,o3-mini-high,o3-mini-high,1363,10,25.69115,17.57550246515018
0.0,CI3=0,gemma-3-27b-it,Gemma 3 27B,1365,10,26.0366,18.76850819964123
0.0,CI3=0,claude-sonnet-4-20250514,Sonnet 4,1389,10,44.585,10.158942120122548
0.0,CI3=0,deepseek-r1,DeepSeek R1,1398,10,38.17058907,14.95206003470061
0.0,CI3=0,claude-haiku-4-5-20251001,Haiku 4.5,1407,10,39.948,16.43476546836005
0.0,CI3=0,deepseek-r1-0528,DeepSeek R1-0528,1422,10,30.270548,16.536280536527435
0.0,CI3=0,qwen3-max-preview,Qwen3 Max,1435,10,37.817099999999996,8.472975846182969
0.0,CI3=0,gemini-2.5-pro,Gemini 2.5 Pro,1448,10,36.160000000000004,17.09504021639025
0.0,CI3=0,claude-opus-4-5-20251101,Opus 4.5,1468,10,43.7386,14.138721640940528
0.0,CI3=0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,10,37.84854,14.297418549668329
0.0,CI3=0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,10,37.1756,10.15826374140778
0.0,CI3=0,gpt-5.4-high,GPT-5.4 High,1484,10,32.357,14.575042915888789
0.0,CI3=0,gemini-3-pro,Gemini 3 Pro,1486,10,44.475,14.271672116469045
0.0,CI3=0,claude-opus-4-6,Opus 4.6,1499,10,37.88767,13.9292221125266
0.0,CI3=0,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,10,43.553,12.940667718475735
0.2,CI3=0.2,llama-3.2-1b-instruct,Llama 3.2 1B,1110,2,26.4,5.4
0.2,CI3=0.2,llama-3.2-3b-instruct,Llama 3.2 3B,1166,2,33.25,10.75
0.2,CI3=0.2,llama-3.1-8b-instruct,Llama 3.1 8B,1211,2,45.45,0.4499999999999993
0.2,CI3=0.2,amazon-nova-micro-v1.0,Nova Micro,1240,2,27.675,0.6750000000000007
0.2,CI3=0.2,claude-3-haiku-20240307,Claude 3 Haiku,1260,2,15.5,10.5
0.2,CI3=0.2,command-r-plus-08-2024,Command R+,1276,2,24.664,1.3359999999999985
0.2,CI3=0.2,amazon-nova-pro-v1.0,Nova Pro,1290,2,37.0,1.0
0.2,CI3=0.2,qwen2.5-72b-instruct,Qwen2.5 72B,1302,2,23.0,6.0
0.2,CI3=0.2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,45.900000000000006,0.9000000000000021
0.2,CI3=0.2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,2,40.7575,15.242499999999998
0.2,CI3=0.2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,0.0,0.0
0.2,CI3=0.2,qwq-32b,QwQ-32B,1336,2,32.5,8.5
0.2,CI3=0.2,gpt-4o-2024-05-13,GPT-4o,1345,2,22.38588,8.21412
0.2,CI3=0.2,deepseek-v3,DeepSeek V3,1358,2,43.5,9.5
0.2,CI3=0.2,o3-mini-high,o3-mini-high,1363,2,30.630000000000003,6.630000000000003
0.2,CI3=0.2,gemma-3-27b-it,Gemma 3 27B,1365,2,29.272047300000004,13.009952700000003
0.2,CI3=0.2,claude-sonnet-4-20250514,Sonnet 4,1389,2,6.509500000000001,1.509500000000001
0.2,CI3=0.2,deepseek-r1,DeepSeek R1,1398,2,30.599999999999998,28.8
0.2,CI3=0.2,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,20.603700000000003,1.7036999999999995
0.2,CI3=0.2,deepseek-r1-0528,DeepSeek R1-0528,1422,2,28.0,15.0
0.2,CI3=0.2,qwen3-max-preview,Qwen3 Max,1435,2,33.5,31.5
0.2,CI3=0.2,gemini-2.5-pro,Gemini 2.5 Pro,1448,2,47.5,2.5
0.2,CI3=0.2,claude-opus-4-5-20251101,Opus 4.5,1468,2,35.3575,6.357500000000002
0.2,CI3=0.2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,17.5,1.5
0.2,CI3=0.2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,2,26.55,0.4499999999999993
0.2,CI3=0.2,gpt-5.4-high,GPT-5.4 High,1484,2,40.46,14.54
0.2,CI3=0.2,gemini-3-pro,Gemini 3 Pro,1486,2,48.5,7.5
0.2,CI3=0.2,claude-opus-4-6,Opus 4.6,1499,2,28.656,8.243999999999998
0.2,CI3=0.2,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,2,18.94373768,12.056262319999998
0.4,CI3=0.4,llama-3.2-1b-instruct,Llama 3.2 1B,1110,4,24.75,29.810862114336782
0.4,CI3=0.4,llama-3.2-3b-instruct,Llama 3.2 3B,1166,4,18.5,14.361406616345072
0.4,CI3=0.4,llama-3.1-8b-instruct,Llama 3.1 8B,1211,4,9.379933650000002,9.544767650856409
0.4,CI3=0.4,amazon-nova-micro-v1.0,Nova Micro,1240,4,46.075,32.210508766550085
0.4,CI3=0.4,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,24.131500000000003,14.880708728081471
