directory,classification,files,size_mib,reason
analysis/__pycache__,delete_candidate_stale_derived,2,0.01,"Cache or derived output from partial, pre-production, or superseded data."
analysis/elo_variance_sampling_100k_context,hold_release_work,30,2.62,Retain until figure and release work is complete.
analysis/full_games123_all_success_preliminary_20260428,delete_candidate_stale_derived,84,23.28,"Cache or derived output from partial, pre-production, or superseded data."
analysis/full_games123_clean_subset_20260428,delete_candidate_stale_derived,57,6.91,"Cache or derived output from partial, pre-production, or superseded data."
analysis/full_games123_clean_subset_20260428_no_synthetic_proposals,delete_candidate_stale_derived,57,6.18,"Cache or derived output from partial, pre-production, or superseded data."
analysis/full_games123_heterogeneous_equal_width_openrouter_repair_20260429_gini_20260503_rerun,delete_candidate_stale_derived,239,51.84,"Cache or derived output from partial, pre-production, or superseded data."
analysis/full_games123_heterogeneous_equal_width_openrouter_repair_20260429_gini_preliminary,delete_candidate_stale_derived,247,40.25,"Cache or derived output from partial, pre-production, or superseded data."
analysis/full_games123_production_20260428_085255_plots_20260429,delete_candidate_stale_derived,84,23.34,"Cache or derived output from partial, pre-production, or superseded data."
analysis/full_games123_production_20260428_085255_plots_20260503_rerun,delete_candidate_stale_derived,92,25.92,"Cache or derived output from partial, pre-production, or superseded data."
analysis/game1_position_qualitative,hold_retained_exploratory_analysis,662,234.21,The user asked to retain exploratory and qualitative analysis during paper and rebuttal work.
analysis/game1_qualitative_review,hold_retained_exploratory_analysis,29,2.99,The user asked to retain exploratory and qualitative analysis during paper and rebuttal work.
analysis/homogeneous_adversary_redline_elo_20260628,keep_current_qualitative,22,2.36,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/homogeneous_adversary_tag_mechanism_20260629,keep_current_qualitative,21,2.66,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/json_parse_errors_20260502,delete_candidate_stale_derived,23,3.17,"Cache or derived output from partial, pre-production, or superseded data."
analysis/llm_strategic_tag_adjudication_20260628,keep_current_qualitative,829,535.04,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_adjudication_n2_gpt5_20260629,keep_current_qualitative,593,47.77,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_adjudication_random_monoculture_20260629,keep_current_qualitative,111,17.47,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_20260629,keep_current_qualitative,55,7.11,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_competition_20260629,keep_current_qualitative,89,22.15,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_hot_20260629,keep_current_qualitative,47,6.13,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_intensity_20260629,keep_current_qualitative,89,21.96,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_lines_payoff_20260629,keep_current_qualitative,56,14.68,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_n2_gpt5_intensity_20260629,keep_current_qualitative,56,9.63,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/llm_strategic_tag_elo_exploration_random_monoculture_intensity_20260629,keep_current_qualitative,54,7.57,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/nash_lindahl_fairness_20260505,keep_paper_derived,21,10.90,Current paper figure or statistics scripts read this directory.
analysis/neurips_revision_20260504,keep_paper_derived,45,14.68,Current paper figure or statistics scripts read this directory.
analysis/paper_figure_verification,hold_release_work,34,0.02,Retain until figure and release work is complete.
analysis/qualitative_dynamics_trends_20260628,keep_current_qualitative,22,5.52,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/qualitative_rollout_dynamics_20260628,keep_current_qualitative,294,15.65,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/recreated_figures,hold_release_work,100,21.65,Retain until figure and release work is complete.
analysis/strategic_qualitative_tags_20260628,keep_current_qualitative,9,47.24,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/ttc_group_intensity_turn_dedup_verification_20260701,keep_paper_derived,3,0.44,Current paper figure or statistics scripts read this directory.
analysis/ttc_hot_strategic_tags_20260629,keep_current_qualitative,25,13.34,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/ttc_llm_strategic_tag_adjudication_20260629,keep_current_qualitative,336,33.55,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/ttc_strategic_tag_exploration_lines_payoff_20260629,keep_current_qualitative,65,8.78,"Current or retained qualitative analysis, adjudication, or synthesis output."
analysis/ttc_strategic_tag_intensity_lines_payoff_20260629,keep_current_qualitative,66,9.09,"Current or retained qualitative analysis, adjudication, or synthesis output."
