experiment_group,game,phase,error_cause,samples_with_json_error
heterogeneous,game1,private_thinking,comments/prose inside JSON object,1
heterogeneous,game1,private_thinking,missing comma/quote delimiter,2
heterogeneous,game1,private_thinking,missing value or truncated JSON,1
heterogeneous,game1,private_thinking,unescaped newline/control char in JSON string,118
heterogeneous,game1,private_thinking,unterminated string,7
heterogeneous,game1,proposal,JSON comments inside arrays/objects,103
heterogeneous,game1,proposal,comments/prose inside JSON object,23
heterogeneous,game1,proposal,missing colon delimiter,1
heterogeneous,game1,proposal,missing comma/quote delimiter,14
heterogeneous,game1,proposal,missing value or truncated JSON,4
heterogeneous,game1,proposal,natural language/no JSON object,102
heterogeneous,game1,proposal,prose before JSON object,3
heterogeneous,game1,proposal,unescaped newline/control char in JSON string,1
heterogeneous,game1,proposal,unterminated string,1
heterogeneous,game1,proposal,used item names instead of numeric indices,4
heterogeneous,game1,proposal,wrong proposal schema,13
heterogeneous,game2,private_thinking,unescaped newline/control char in JSON string,92
heterogeneous,game2,private_thinking,unterminated string,4
heterogeneous,game2,proposal,JSON comments inside arrays/objects,3
heterogeneous,game2,proposal,missing comma/quote delimiter,2
heterogeneous,game2,proposal,missing value or truncated JSON,1
heterogeneous,game2,proposal,natural language/no JSON object,15
heterogeneous,game2,proposal,unescaped newline/control char in JSON string,1
heterogeneous,game3,private_thinking,missing comma/quote delimiter,1
heterogeneous,game3,private_thinking,unescaped newline/control char in JSON string,18
heterogeneous,game3,private_thinking,unterminated string,4
heterogeneous,game3,proposal,missing value or truncated JSON,1
heterogeneous,game3,proposal,natural language/no JSON object,3
homogeneous,game1,private_thinking,JSON comments inside arrays/objects,4
homogeneous,game1,private_thinking,missing colon delimiter,1
homogeneous,game1,private_thinking,missing comma/quote delimiter,46
homogeneous,game1,private_thinking,unescaped newline/control char in JSON string,18
homogeneous,game1,private_thinking,unterminated string,2
homogeneous,game1,proposal,JSON comments inside arrays/objects,36
homogeneous,game1,proposal,comments/prose inside JSON object,6
homogeneous,game1,proposal,missing comma/quote delimiter,3
homogeneous,game1,proposal,missing value or truncated JSON,5
homogeneous,game1,proposal,natural language/no JSON object,6
homogeneous,game1,proposal,wrong proposal schema,15
homogeneous,game2,private_thinking,missing comma/quote delimiter,29
homogeneous,game2,private_thinking,unescaped newline/control char in JSON string,22
homogeneous,game2,private_thinking,unterminated string,1
homogeneous,game2,proposal,missing comma/quote delimiter,3
homogeneous,game3,private_thinking,JSON comments inside arrays/objects,1
homogeneous,game3,private_thinking,comments/prose inside JSON object,1
homogeneous,game3,private_thinking,invalid escape sequence,1
homogeneous,game3,private_thinking,malformed object key,1
homogeneous,game3,private_thinking,missing colon delimiter,7
homogeneous,game3,private_thinking,missing comma/quote delimiter,50
homogeneous,game3,private_thinking,missing value or truncated JSON,8
homogeneous,game3,private_thinking,unescaped newline/control char in JSON string,45
homogeneous,game3,private_thinking,unterminated string,1
homogeneous,game3,proposal,JSON comments inside arrays/objects,5
homogeneous,game3,proposal,missing comma/quote delimiter,13
homogeneous,game3,proposal,missing value or truncated JSON,1
homogeneous,game3,proposal,natural language/no JSON object,2
