config_id,result_path,run_dir,status,started_at,finished_at,duration_seconds,game_label,game_type,experiment_family,n_agents,m_items,n_issues,m_projects,competition_key,competition_value,competition_level,rho,theta,sigma,alpha,random_seed,seed_replicate,heterogeneous_run_index,heterogeneous_draw_seed,adversary_model,adversary_position,model_order,max_tokens_voting,parallel_phases,consensus_reached,final_round,audit_strict_voting_clean,strict_voting_clean,audit_synthetic_vote_count,audit_strict_bad_count,token_limit_marker_count,vote_fallback_log_marker_count,synthetic_vote_marker_count,synthetic_proposal_marker_count,provider_degradation_marker_count,agent_count_in_result,model_list,unique_model_count,mean_utility,sum_utility,utility_gini,elo_variance,elo_std,elo_min,elo_max,adversary_elo,adversary_utility,baseline_mean_utility,baseline_sum_utility,baseline_agent_count
1,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0001_game1_homogeneous_control_n2_comp_0p0_seed1,SUCCESS,2026-04-27T04:07:31.113465,2026-04-27T04:10:19.279264,168.165799,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1874736230,1.0,,,,,homogeneous_control,768,True,True,3,True,True,0,0,0,0,0,0,0,2,gpt-5-nano+gpt-5-nano,1,68.04,136.08,0.0952380952380952,0.0,0.0,1337,1337,,,,,0
2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0002_game1_homogeneous_control_n2_comp_0p0_seed2,SUCCESS,2026-04-27T04:07:30.390806,2026-04-27T04:08:26.162714,55.771908,game1,item_allocation,homogeneous_control,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,2024377391,2.0,,,,,homogeneous_control,768,True,True,1,True,True,0,0,0,0,0,0,0,2,gpt-5-nano+gpt-5-nano,1,100.0,200.0,0.0,0.0,0.0,1337,1337,,,,,0
3,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0003_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0003_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed1,SUCCESS,2026-04-27T04:07:29.797655,2026-04-27T04:08:26.121186,56.323531,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,223037668,1.0,,,amazon-nova-micro-v1.0,first,adversary_first,768,True,True,1,True,True,0,0,0,0,0,1,0,2,amazon-nova-micro-v1.0+gpt-5-nano,2,100.0,200.0,0.0,2352.25,48.5,1240,1337,1240.0,100.0,100.0,100.0,1
4,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0004_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0004_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_first_seed2,SUCCESS,2026-04-27T04:08:00.882150,2026-04-27T04:09:55.947969,115.065819,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1371447132,2.0,,,amazon-nova-micro-v1.0,first,adversary_first,768,True,True,2,True,True,0,0,0,0,0,10,0,2,amazon-nova-micro-v1.0+gpt-5-nano,2,90.0,180.0,0.0,2352.25,48.5,1240,1337,1240.0,90.0,90.0,90.0,1
5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0005_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed1,SUCCESS,2026-04-27T04:08:00.553804,2026-04-27T04:08:50.768696,50.214892,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1300995756,1.0,,,amazon-nova-micro-v1.0,last,adversary_last,768,True,True,1,True,True,0,0,0,0,0,0,0,2,gpt-5-nano+amazon-nova-micro-v1.0,2,96.0,192.0,0.005208333333333333,2352.25,48.5,1240,1337,1240.0,95.0,97.0,97.0,1
6,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0006_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0006_game1_homogeneous_adversary_n2_comp_0p0_amazon_nova_micro_v1p0_last_seed2,SUCCESS,2026-04-27T04:08:00.461792,2026-04-27T04:09:39.076443,98.614651,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1386065904,2.0,,,amazon-nova-micro-v1.0,last,adversary_last,768,True,True,2,True,True,0,0,0,0,0,1,0,2,gpt-5-nano+amazon-nova-micro-v1.0,2,75.6,151.2,0.09523809523809523,2352.25,48.5,1240,1337,1240.0,61.2,90.0,90.0,1
7,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0007_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0007_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed1,SUCCESS,2026-04-27T04:08:31.646786,2026-04-27T04:29:59.129196,1287.48241,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1847834857,1.0,,,gpt-4o-mini-2024-07-18,first,adversary_first,768,True,True,2,False,False,0,11,22,0,0,0,0,2,gpt-4o-mini-2024-07-18+gpt-5-nano,2,90.0,180.0,0.0,100.0,10.0,1317,1337,1317.0,90.0,90.0,90.0,1
8,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0008_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_first_seed2,SUCCESS,2026-04-27T04:08:30.835256,2026-04-27T04:09:16.310805,45.475549,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,452019306,2.0,,,gpt-4o-mini-2024-07-18,first,adversary_first,768,True,True,1,True,True,0,0,0,0,0,0,0,2,gpt-4o-mini-2024-07-18+gpt-5-nano,2,100.0,200.0,0.0,100.0,10.0,1317,1337,1317.0,100.0,100.0,100.0,1
9,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0009_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1,SUCCESS,2026-04-27T04:08:30.879521,2026-04-27T04:09:29.085295,58.205774,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1813537612,1.0,,,gpt-4o-mini-2024-07-18,last,adversary_last,768,True,True,1,True,True,0,0,0,0,0,0,0,2,gpt-5-nano+gpt-4o-mini-2024-07-18,2,100.0,200.0,0.0,100.0,10.0,1317,1337,1317.0,100.0,100.0,100.0,1
10,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0010_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed2/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_20260427_040554/runs/config_0010_game1_homogeneous_adversary_n2_comp_0p0_gpt_4o_mini_2024_07_18_last_seed2,SUCCESS,2026-04-27T04:09:01.517221,2026-04-27T04:10:30.338773,88.821552,game1,item_allocation,homogeneous_adversary,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1157628703,2.0,,,gpt-4o-mini-2024-07-18,last,adversary_last,768,True,True,1,False,False,0,3,6,0,0,0,0,2,gpt-5-nano+gpt-4o-mini-2024-07-18,2,85.0,170.0,0.08823529411764706,100.0,10.0,1317,1337,1317.0,100.0,70.0,70.0,1
