experiment_group,phase,error_cause,samples_with_json_error
heterogeneous,private_thinking,comments/prose inside JSON object,1
heterogeneous,private_thinking,missing comma/quote delimiter,3
heterogeneous,private_thinking,missing value or truncated JSON,1
heterogeneous,private_thinking,unescaped newline/control char in JSON string,228
heterogeneous,private_thinking,unterminated string,15
heterogeneous,proposal,JSON comments inside arrays/objects,106
heterogeneous,proposal,comments/prose inside JSON object,23
heterogeneous,proposal,missing colon delimiter,1
heterogeneous,proposal,missing comma/quote delimiter,16
heterogeneous,proposal,missing value or truncated JSON,6
heterogeneous,proposal,natural language/no JSON object,120
heterogeneous,proposal,prose before JSON object,3
heterogeneous,proposal,unescaped newline/control char in JSON string,2
heterogeneous,proposal,unterminated string,1
heterogeneous,proposal,used item names instead of numeric indices,4
heterogeneous,proposal,wrong proposal schema,13
homogeneous,private_thinking,JSON comments inside arrays/objects,5
homogeneous,private_thinking,comments/prose inside JSON object,1
homogeneous,private_thinking,invalid escape sequence,1
homogeneous,private_thinking,malformed object key,1
homogeneous,private_thinking,missing colon delimiter,8
homogeneous,private_thinking,missing comma/quote delimiter,125
homogeneous,private_thinking,missing value or truncated JSON,8
homogeneous,private_thinking,unescaped newline/control char in JSON string,85
homogeneous,private_thinking,unterminated string,4
homogeneous,proposal,JSON comments inside arrays/objects,41
homogeneous,proposal,comments/prose inside JSON object,6
homogeneous,proposal,missing comma/quote delimiter,19
homogeneous,proposal,missing value or truncated JSON,6
homogeneous,proposal,natural language/no JSON object,8
homogeneous,proposal,wrong proposal schema,15
