experiment_id,model,model_short,role,utility,elo,rho,theta,competition_index
522,llama-3.2-1b-instruct,Llama 3.2 1B,adversary,66.84,1111.0,-1.0,0.0,0.0
523,llama-3.2-1b-instruct,Llama 3.2 1B,adversary,32.92,1111.0,-1.0,0.0,0.0
504,llama-3.2-3b-instruct,Llama 3.2 3B,adversary,85.0,1167.0,-1.0,0.0,0.0
505,llama-3.2-3b-instruct,Llama 3.2 3B,adversary,52.7012325,1167.0,-1.0,0.0,0.0
486,llama-3.1-8b-instruct,Llama 3.1 8B,adversary,94.13999999999999,1212.0,-1.0,0.0,0.0
487,llama-3.1-8b-instruct,Llama 3.1 8B,adversary,91.61999999999999,1212.0,-1.0,0.0,0.0
468,amazon-nova-micro-v1.0,Nova Micro,adversary,97.69999999999999,1241.0,-1.0,0.0,0.0
469,amazon-nova-micro-v1.0,Nova Micro,adversary,100.0,1241.0,-1.0,0.0,0.0
450,claude-3-haiku-20240307,Claude 3 Haiku,adversary,15.999999999999993,1261.0,-1.0,0.0,0.0
451,claude-3-haiku-20240307,Claude 3 Haiku,adversary,77.74000000000001,1261.0,-1.0,0.0,0.0
432,command-r-plus-08-2024,Command R+,adversary,98.06,1277.0,-1.0,0.0,0.0
433,command-r-plus-08-2024,Command R+,adversary,78.28,1277.0,-1.0,0.0,0.0
414,amazon-nova-pro-v1.0,Nova Pro,adversary,93.26,1290.0,-1.0,0.0,0.0
415,amazon-nova-pro-v1.0,Nova Pro,adversary,91.44000000000001,1290.0,-1.0,0.0,0.0
396,qwen2.5-72b-instruct,Qwen2.5 72B,adversary,9.170000000000003,1303.0,-1.0,0.0,0.0
397,qwen2.5-72b-instruct,Qwen2.5 72B,adversary,72.9,1303.0,-1.0,0.0,0.0
378,gpt-4o-mini-2024-07-18,GPT-4o mini,adversary,83.62,1318.0,-1.0,0.0,0.0
379,gpt-4o-mini-2024-07-18,GPT-4o mini,adversary,100.0,1318.0,-1.0,0.0,0.0
360,llama-3.3-70b-instruct,Llama 3.3 70B,adversary,100.0,1319.0,-1.0,0.0,0.0
361,llama-3.3-70b-instruct,Llama 3.3 70B,adversary,86.5,1319.0,-1.0,0.0,0.0
342,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,adversary,39.160000000000004,1322.0,-1.0,0.0,0.0
343,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,adversary,100.0,1322.0,-1.0,0.0,0.0
324,qwq-32b,QwQ-32B,adversary,69.55999999999999,1336.0,-1.0,0.0,0.0
