game_label,n_agents,competition_key,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,2,comp=0.00,amazon-nova-pro-v1.0,Nova Pro,1290,2,100.0,0.0
game1,2,comp=0.00,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,100.0,
game1,2,comp=0.00,llama-3.3-70b-instruct,Llama 3.3 70B,1318,2,100.0,0.0
game1,2,comp=0.00,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,91.0,12.727922061357855
game1,2,comp=0.00,gpt-4o-2024-05-13,GPT-4o,1345,2,100.0,0.0
game1,2,comp=0.00,deepseek-v3,DeepSeek V3,1358,2,100.0,0.0
game1,2,comp=0.00,o3-mini-high,o3-mini-high,1363,5,100.0,0.0
game1,2,comp=0.00,gemma-3-27b-it,Gemma 3 27B,1365,3,100.0,0.0
game1,2,comp=0.00,claude-sonnet-4-20250514,Sonnet 4,1389,2,100.0,0.0
game1,2,comp=0.00,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,100.0,0.0
game1,2,comp=0.00,deepseek-r1-0528,DeepSeek R1-0528,1422,1,100.0,
game1,2,comp=0.00,qwen3-max-preview,Qwen3 Max,1435,2,100.0,0.0
game1,2,comp=0.00,claude-opus-4-5-20251101,Opus 4.5,1468,4,100.0,0.0
game1,2,comp=0.00,gpt-5.4-high,GPT-5.4 High,1484,1,100.0,
game1,2,comp=0.00,claude-opus-4-6,Opus 4.6,1499,3,97.66666666666667,4.041451884327382
game1,2,comp=0.25,amazon-nova-micro-v1.0,Nova Micro,1240,2,73.55000000000001,3.4648232278140716
game1,2,comp=0.25,command-r-plus-08-2024,Command R+,1276,1,94.0,
game1,2,comp=0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,85.5,
game1,2,comp=0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,93.0,
game1,2,comp=0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,72.0,4.242640687119285
game1,2,comp=0.25,gpt-4o-2024-05-13,GPT-4o,1345,1,69.0,
game1,2,comp=0.25,deepseek-v3,DeepSeek V3,1358,1,83.0,
game1,2,comp=0.25,gemma-3-27b-it,Gemma 3 27B,1365,2,81.45,0.6363961030678968
game1,2,comp=0.25,claude-sonnet-4-20250514,Sonnet 4,1389,1,93.0,
game1,2,comp=0.25,qwen3-max-preview,Qwen3 Max,1435,1,61.2,
game1,2,comp=0.25,claude-opus-4-6,Opus 4.6,1499,1,78.0,
game1,2,comp=0.50,amazon-nova-micro-v1.0,Nova Micro,1240,2,56.45,2.192031021678301
game1,2,comp=0.50,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,55.89,
game1,2,comp=0.50,command-r-plus-08-2024,Command R+,1276,1,59.778000000000006,
game1,2,comp=0.50,amazon-nova-pro-v1.0,Nova Pro,1290,1,72.0,
game1,2,comp=0.50,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,73.72125,18.432737350974215
game1,2,comp=0.50,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,75.0,11.313708498984761
game1,2,comp=0.50,gpt-4o-2024-05-13,GPT-4o,1345,1,55.800000000000004,
game1,2,comp=0.50,deepseek-v3,DeepSeek V3,1358,2,77.71000000000001,15.966471119192237
game1,2,comp=0.50,gemma-3-27b-it,Gemma 3 27B,1365,1,67.0,
game1,2,comp=0.50,claude-sonnet-4-20250514,Sonnet 4,1389,1,84.0,
game1,2,comp=0.50,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,65.0,
game1,2,comp=0.50,deepseek-r1-0528,DeepSeek R1-0528,1422,1,63.0,
game1,2,comp=0.50,gemini-2.5-pro,Gemini 2.5 Pro,1448,1,81.0,
game1,2,comp=0.50,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,90.0,
game1,2,comp=0.50,gpt-5.4-high,GPT-5.4 High,1484,1,67.5,
game1,2,comp=0.50,gemini-3-pro,Gemini 3 Pro,1486,1,63.0,
game1,2,comp=0.75,amazon-nova-micro-v1.0,Nova Micro,1240,2,64.5,12.020815280171307
game1,2,comp=0.75,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,51.0,
game1,2,comp=0.75,command-r-plus-08-2024,Command R+,1276,1,70.0,
game1,2,comp=0.75,amazon-nova-pro-v1.0,Nova Pro,1290,3,73.33333333333333,11.590225767142474
game1,2,comp=0.75,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,64.0,12.727922061357855
game1,2,comp=0.75,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,1,53.0,
game1,2,comp=0.75,gpt-4o-2024-05-13,GPT-4o,1345,1,53.1,
game1,2,comp=0.75,deepseek-v3,DeepSeek V3,1358,2,55.5,2.1213203435596424
game1,2,comp=0.75,o3-mini-high,o3-mini-high,1363,4,62.475,7.583040287378143
game1,2,comp=0.75,gemma-3-27b-it,Gemma 3 27B,1365,1,57.0,
game1,2,comp=0.75,claude-sonnet-4-20250514,Sonnet 4,1389,1,80.0,
game1,2,comp=0.75,deepseek-r1-0528,DeepSeek R1-0528,1422,1,65.0,
game1,2,comp=0.75,gemini-2.5-pro,Gemini 2.5 Pro,1448,1,56.0,
game1,2,comp=0.75,claude-opus-4-5-20251101,Opus 4.5,1468,1,71.0,
game1,2,comp=0.75,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,63.0,
game1,2,comp=0.75,gpt-5.4-high,GPT-5.4 High,1484,1,74.0,
game1,2,comp=1.00,amazon-nova-micro-v1.0,Nova Micro,1240,2,39.5,12.020815280171307
game1,2,comp=1.00,amazon-nova-pro-v1.0,Nova Pro,1290,1,22.0,
game1,2,comp=1.00,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,57.0,16.97056274847714
game1,2,comp=1.00,llama-3.3-70b-instruct,Llama 3.3 70B,1318,3,51.68000000000001,14.865638230496533
game1,2,comp=1.00,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,46.575,2.863782463805516
game1,2,comp=1.00,gpt-4o-2024-05-13,GPT-4o,1345,6,31.41,13.161481679507059
game1,2,comp=1.00,deepseek-v3,DeepSeek V3,1358,3,60.13333333333333,18.31538515383538
game1,2,comp=1.00,o3-mini-high,o3-mini-high,1363,1,65.7,
game1,2,comp=1.00,claude-sonnet-4-20250514,Sonnet 4,1389,5,50.61,10.155072624063305
game1,2,comp=1.00,claude-opus-4-5-20251101,Opus 4.5,1468,1,38.7,
game1,2,comp=1.00,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,61.2,
game1,2,comp=1.00,claude-opus-4-6,Opus 4.6,1499,1,51.300000000000004,
game1,4,comp=0.00,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,100.0,
game1,4,comp=0.00,command-r-plus-08-2024,Command R+,1276,1,100.0,
