config_id,result_path,run_dir,status,started_at,finished_at,duration_seconds,game_label,game_type,experiment_family,n_agents,m_items,n_issues,m_projects,competition_key,competition_value,competition_level,rho,theta,sigma,alpha,random_seed,seed_replicate,heterogeneous_run_index,heterogeneous_draw_seed,adversary_model,adversary_position,model_order,max_tokens_voting,parallel_phases,consensus_reached,final_round,strict_voting_clean,token_limit_marker_count,vote_fallback_log_marker_count,synthetic_vote_marker_count,synthetic_proposal_marker_count,provider_degradation_marker_count,agent_count_in_result,model_list,unique_model_count,utility_count,utility_min,utility_max,utility_range,mean_utility,sum_utility,utility_variance,utility_std,utility_gini,utility_gini_raw,utility_gini_corrected,utility_gini_correction_factor,utility_gini_small_n_corrected,payoff_elo_fit_agent_count,payoff_elo_slope,payoff_elo_slope_per_100_elo,payoff_elo_abs_slope,payoff_elo_abs_slope_per_100_elo,payoff_elo_intercept,payoff_elo_r_squared,payoff_elo_correlation,elo_variance,elo_std,elo_min,elo_max,adversary_elo,adversary_utility,baseline_mean_utility,baseline_sum_utility,baseline_agent_count
24,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0024_game1_heterogeneous_random_n2_comp_0p0_run02/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0024_game1_heterogeneous_random_n2_comp_0p0_run02,SUCCESS,2026-04-29T11:45:53.540090,2026-04-29T11:47:03.562680,70.02259,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,447604093,,2,1339644731,,,sampled_random_order,,True,True,2,True,0,0,0,0,0,2,o3-mini-high+gpt-4.1-nano-2025-04-14,2,2,90.0,90.0,0.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,-2.0628083798380646e-16,-2.0628083798380646e-14,2.0628083798380646e-16,2.0628083798380646e-14,90.00000000000026,1.0,0.0,420.25,20.5,1322,1363,,,,,0
25,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0025_game1_heterogeneous_random_n2_comp_0p0_run03/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0025_game1_heterogeneous_random_n2_comp_0p0_run03,SUCCESS,2026-04-29T11:45:54.112292,2026-04-29T11:47:20.667018,86.554726,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,599336621,,3,1718944743,,,sampled_random_order,,True,True,1,True,0,0,0,0,2,2,claude-opus-4-5-20251101-thinking-32k+claude-opus-4-5-20251101,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,-2.5619361689991638e-15,-2.5619361689991636e-13,2.5619361689991638e-15,2.5619361689991636e-13,100.00000000000371,1.0,0.0,9.0,3.0,1468,1474,,,,,0
26,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0026_game1_heterogeneous_random_n2_comp_0p0_run04/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0026_game1_heterogeneous_random_n2_comp_0p0_run04,SUCCESS,2026-04-29T11:46:24.706411,2026-04-29T11:47:27.210580,62.504169,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,252515790,,4,1682676027,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,2,qwen3-max-preview+claude-haiku-4-5-20251001,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,1.520037045671057e-16,1.520037045671057e-14,1.520037045671057e-16,1.520037045671057e-14,99.99999999999982,1.0,0.0,196.0,14.0,1407,1435,,,,,0
27,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0027_game1_heterogeneous_random_n2_comp_0p0_run05/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0027_game1_heterogeneous_random_n2_comp_0p0_run05,SUCCESS,2026-04-29T11:46:24.919825,2026-04-29T11:51:50.265269,325.345444,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1440231607,,5,831315442,,,sampled_random_order,,True,True,1,True,0,0,0,0,0,2,qwen3-max-preview+gpt-5-nano-high,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,-1.1479651805408458e-16,-1.1479651805408459e-14,1.1479651805408458e-16,1.1479651805408459e-14,100.00000000000016,1.0,0.0,2401.0,49.0,1337,1435,,,,,0
28,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0028_game1_heterogeneous_random_n2_comp_0p0_run06/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0028_game1_heterogeneous_random_n2_comp_0p0_run06,SUCCESS,2026-04-29T11:46:24.221014,2026-04-29T11:47:10.834152,46.613138,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1909218086,,6,1950562375,,,sampled_random_order,,True,True,1,True,0,0,0,0,0,2,o3-mini-high+claude-3-haiku-20240307,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,-2.3268240667390362e-17,-2.3268240667390362e-15,2.3268240667390362e-17,2.3268240667390362e-15,100.0,1.0,0.0,2652.25,51.5,1260,1363,,,,,0
29,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0029_game1_heterogeneous_random_n2_comp_0p0_run07/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0029_game1_heterogeneous_random_n2_comp_0p0_run07,SUCCESS,2026-04-29T11:46:56.040024,2026-04-29T11:47:46.961245,50.921221,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1250162347,,7,278911302,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,2,o3-mini-high+claude-opus-4-5-20251101,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,-5.1153982911927604e-17,-5.115398291192761e-15,5.1153982911927604e-17,5.115398291192761e-15,100.00000000000007,1.0,0.0,2756.25,52.5,1363,1468,,,,,0
30,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0030_game1_heterogeneous_random_n2_comp_0p0_run08/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0030_game1_heterogeneous_random_n2_comp_0p0_run08,SUCCESS,2026-04-29T11:46:55.996028,2026-04-29T11:48:02.171876,66.175848,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,1625750770,,8,1158944442,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,2,claude-opus-4-6+qwen3-max-preview,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,3.079137162734976e-17,3.0791371627349763e-15,3.079137162734976e-17,3.0791371627349763e-15,100.0,1.0,0.0,1024.0,32.0,1435,1499,,,,,0
31,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0031_game1_heterogeneous_random_n2_comp_0p0_run09/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0031_game1_heterogeneous_random_n2_comp_0p0_run09,SUCCESS,2026-04-29T11:46:56.076365,2026-04-29T11:50:12.536757,196.460392,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,707879583,,9,457752134,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,2,claude-opus-4-5-20251101+deepseek-v3,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,8.585724701337766e-17,8.585724701337765e-15,8.585724701337766e-17,8.585724701337765e-15,99.9999999999999,1.0,0.0,3025.0,55.0,1358,1468,,,,,0
32,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0032_game1_heterogeneous_random_n2_comp_0p0_run10/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0032_game1_heterogeneous_random_n2_comp_0p0_run10,SUCCESS,2026-04-29T11:47:25.865363,2026-04-29T12:02:49.622287,923.756924,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,618879837,,10,262818168,,,sampled_random_order,,True,True,1,True,0,0,0,0,1,2,claude-opus-4-5-20251101+gpt-5-nano-high,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,-1.0047823709900098e-16,-1.0047823709900098e-14,1.0047823709900098e-16,1.0047823709900098e-14,100.00000000000011,1.0,0.0,4290.25,65.5,1337,1468,,,,,0
33,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0033_game1_heterogeneous_random_n2_comp_0p0_run11/experiment_results.json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0033_game1_heterogeneous_random_n2_comp_0p0_run11,SUCCESS,2026-04-29T11:47:26.786716,2026-04-29T11:49:53.823994,147.037278,game1,item_allocation,heterogeneous_random,2,5,5,5,comp=0.00,0.0,0.0,0.0,0.5,0.5,0.5,665617889,,11,296893713,,,sampled_random_order,,True,True,1,True,0,0,0,0,0,2,gemini-2.5-pro+llama-3.3-70b-instruct,2,2,100.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2,3.6884820378362135e-17,3.688482037836214e-15,3.6884820378362135e-17,3.688482037836214e-15,99.99999999999996,1.0,0.0,4225.0,65.0,1318,1448,,,,,0
