game_label,competition_key,competition_value,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,comp=0.00,0.0,amazon-nova-micro-v1.0,Nova Micro,1240,10,80.0,42.16370213557839
game1,comp=0.00,0.0,claude-3-haiku-20240307,Claude 3 Haiku,1260,10,88.8,31.304241814098546
game1,comp=0.00,0.0,command-r-plus-08-2024,Command R+,1276,4,100.0,0.0
game1,comp=0.00,0.0,amazon-nova-pro-v1.0,Nova Pro,1290,6,83.33333333333333,40.824829046386306
game1,comp=0.00,0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,7,100.0,0.0
game1,comp=0.00,0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1318,10,100.0,0.0
game1,comp=0.00,0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,7,70.0,47.958315233127195
game1,comp=0.00,0.0,gpt-5-nano-high,GPT-5-nano,1337,12,100.0,0.0
game1,comp=0.00,0.0,gpt-4o-2024-05-13,GPT-4o,1345,8,100.0,0.0
game1,comp=0.00,0.0,deepseek-v3,DeepSeek V3,1358,11,100.0,0.0
game1,comp=0.00,0.0,o3-mini-high,o3-mini-high,1363,12,99.16666666666667,2.8867513459481287
game1,comp=0.00,0.0,gemma-3-27b-it,Gemma 3 27B,1365,11,100.0,0.0
game1,comp=0.00,0.0,claude-sonnet-4-20250514,Sonnet 4,1389,11,100.0,0.0
game1,comp=0.00,0.0,claude-haiku-4-5-20251001,Haiku 4.5,1407,7,100.0,0.0
game1,comp=0.00,0.0,deepseek-r1-0528,DeepSeek R1-0528,1422,6,100.0,0.0
game1,comp=0.00,0.0,qwen3-max-preview,Qwen3 Max,1435,7,100.0,0.0
game1,comp=0.00,0.0,gemini-2.5-pro,Gemini 2.5 Pro,1448,6,83.33333333333333,40.824829046386306
game1,comp=0.00,0.0,claude-opus-4-5-20251101,Opus 4.5,1468,11,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,6,83.33333333333333,40.824829046386306
game1,comp=0.00,0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,7,100.0,0.0
game1,comp=0.00,0.0,gpt-5.4-high,GPT-5.4 High,1484,8,100.0,0.0
game1,comp=0.00,0.0,gemini-3.1-pro,gemini-3.1-pro,1494,9,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-6,Opus 4.6,1499,11,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,9,100.0,0.0
game1,comp=0.25,0.25,amazon-nova-micro-v1.0,Nova Micro,1240,16,49.57,24.52500220863055
game1,comp=0.25,0.25,claude-3-haiku-20240307,Claude 3 Haiku,1260,6,63.35,12.814640065175459
game1,comp=0.25,0.25,command-r-plus-08-2024,Command R+,1276,10,46.692099999999996,17.435302045944983
game1,comp=0.25,0.25,amazon-nova-pro-v1.0,Nova Pro,1290,5,68.53999999999999,13.416706004083114
game1,comp=0.25,0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,8,39.1,18.728816605129417
game1,comp=0.25,0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1318,5,48.46,27.618978981852315
game1,comp=0.25,0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,13,42.485615384615386,21.13476093050838
game1,comp=0.25,0.25,gpt-5-nano-high,GPT-5-nano,1337,6,53.972833333333334,11.855946531874483
game1,comp=0.25,0.25,gpt-4o-2024-05-13,GPT-4o,1345,8,55.575,17.625853576088574
game1,comp=0.25,0.25,deepseek-v3,DeepSeek V3,1358,7,53.199999999999996,12.002638598797073
game1,comp=0.25,0.25,o3-mini-high,o3-mini-high,1363,9,65.94444444444444,9.789932470542267
game1,comp=0.25,0.25,gemma-3-27b-it,Gemma 3 27B,1365,5,57.44,18.461933809869436
game1,comp=0.25,0.25,claude-sonnet-4-20250514,Sonnet 4,1389,14,64.50714285714285,15.260127244439452
game1,comp=0.25,0.25,claude-haiku-4-5-20251001,Haiku 4.5,1407,8,64.9125,13.23150326196644
game1,comp=0.25,0.25,deepseek-r1-0528,DeepSeek R1-0528,1422,10,59.6,18.6499925528731
game1,comp=0.25,0.25,qwen3-max-preview,Qwen3 Max,1435,11,61.41727272727273,20.347783216315772
game1,comp=0.25,0.25,gemini-2.5-pro,Gemini 2.5 Pro,1448,11,57.46363636363637,21.25545919180636
game1,comp=0.25,0.25,claude-opus-4-5-20251101,Opus 4.5,1468,10,59.817899999999995,18.712641113251042
game1,comp=0.25,0.25,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,13,59.276923076923076,16.401125664932973
game1,comp=0.25,0.25,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,17,69.97647058823529,14.950607404540651
game1,comp=0.25,0.25,gpt-5.4-high,GPT-5.4 High,1484,11,67.10127272727273,12.492270322810892
game1,comp=0.25,0.25,gemini-3.1-pro,gemini-3.1-pro,1494,9,64.17777777777778,13.061946426334952
game1,comp=0.25,0.25,claude-opus-4-6,Opus 4.6,1499,18,62.58888888888888,15.833318885442326
