experiment_family,game,config_id,proposed_severity,accepted,accepted_severity,result_path
heterogeneous_random,game1,288,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0288_game1_heterogeneous_random_n4_comp_0p25_run14/experiment_results.json
heterogeneous_random,game1,336,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0336_game1_heterogeneous_random_n4_comp_0p5_run20/experiment_results.json
heterogeneous_random,game1,363,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0363_game1_heterogeneous_random_n4_comp_0p75_run05/experiment_results.json
heterogeneous_random,game1,412,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0412_game1_heterogeneous_random_n4_comp_1p0_run12/experiment_results.json
heterogeneous_random,game1,418,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0418_game1_heterogeneous_random_n4_comp_1p0_run18/experiment_results.json
heterogeneous_random,game1,571,literal_zero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0571_game1_heterogeneous_random_n6_comp_0p75_run03/experiment_results.json
heterogeneous_random,game1,621,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0621_game1_heterogeneous_random_n6_comp_1p0_run11/experiment_results.json
heterogeneous_random,game1,627,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0627_game1_heterogeneous_random_n6_comp_1p0_run17/experiment_results.json
heterogeneous_random,game1,629,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0629_game1_heterogeneous_random_n6_comp_1p0_run19/experiment_results.json
heterogeneous_random,game1,630,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0630_game1_heterogeneous_random_n6_comp_1p0_run20/experiment_results.json
heterogeneous_random,game1,711,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0711_game1_heterogeneous_random_n8_comp_0p25_run17/experiment_results.json
heterogeneous_random,game1,738,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0738_game1_heterogeneous_random_n8_comp_0p5_run02/experiment_results.json
heterogeneous_random,game1,756,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0756_game1_heterogeneous_random_n8_comp_0p5_run20/experiment_results.json
