figure_id,paper_section,tex_source,tex_line,latex_label,graphic_path,resolution_status,sha256,provenance_ref,retention_status,notes
I001,main,1_intro.tex,26,fig:flow,icml_aiwild_template/graphics/Hero_Figure_1.png,present,3fbc8ff7bc486235ff8c495208624090bf879cea8355773ebeec19f060dbd88e,F004,retain,Manual Google Drawings asset. The path resolves from the shared Overleaf root.
I002,main,4_analysis.tex,11,fig:n2_baseline_payoff,graphics/n2_gpt5_nano/bilateral_overview_combined.png,present,58ad787139a56f7df99a37b6805e9fbcbc98474f9b3aaf949b0d52774bb4f926,F001,retain,Verified from 1500 Phi-free GPT-5-nano primary runs; Game 1 contains only two-turn runs.
I003,main,4_analysis.tex,33,fig:multiagent_fairness_residual,graphics/n2_gpt5_nano/fairshare_residual_combined.png,present,48e5413d967c3716fccee9a1bc97dad1f18e1740fe8c88611bdd8003d4fafcbd,F008,retain,Verified from 1500 bilateral and all 2730 canonical multi-agent runs with zero Phi rows; Game 2 N>2 uses the corrected numerical NBS.
I004,main,4_analysis.tex,54,fig:n2_qualitative,graphics/qualitative_n2/n2_qualitative_combined_category_matched_colors.png,present,a68894e97dd90c3828b2336c6ddbf34b733719dcd3b629c1a08928c50d21bfb1,overleaf/icml_aiwild_template/graphics/qualitative_n2/n2_qualitative_dedup_provenance.json,retain,Selected-23 analysis of the primary 1500 bilateral runs; each model contributes 50 rollouts and 15 missing annotation records are zero-filled as disclosed.
I005,main,4_analysis.tex,65,fig:ttc_scatter,graphics/ttc_game_averaged_target_payoff_vs_compute.png,present,11ce89987c8c7f1208bdc11e723980386a834f6ad7d6d6c6a02d63333e39d92f,F003,retain,Verified from 2088 raw TTC results in 29 comparable complete family-seed panels; uncertainty is across seed estimates and the seed-612 Claude recovery panel is excluded.
I006,main,4_analysis.tex,72,fig:ttc_intensities,graphics/qualitative_ttc/ttc_group_intensity_singlecolumn_3x2.png,present,66822ce0b0dce1af8ca90082859b3552f38b51cf7aa7322b3d78a9789a3bf2d2,scripts/paper_figures/plot_icml_ttc_main_figures.py;overleaf/icml_aiwild_template/graphics/ttc_main_figures_provenance.json,retain,Selected-23 turn-deduplicated category counts for all 216 GPT-5 Gemini and Claude TTC rollouts; bars are one SEM across 18 rollouts per family-setting point.
I007,main,4_analysis.tex,79,fig:multiagent_hetero_payoff,graphics/qualitative_ttc/heterogenous_game1_payoff_singlecolumn.png,present,9fcdc16397d5accb01b0beaf03172d55e35631693cfbec4355e88311de587c2e,scripts/paper_figures/plot_icml_heterogeneous_game1_payoff.py,retain,Verified against the exact 1300 canonical heterogeneous result paths with zero Phi rows.
I008,main,4_analysis.tex,106,fig:multiagent_hetero_vs_homo_gini,graphics/multiagent_gini/heterogeneous_vs_homogeneous_gini_bars.png,present,bdd54f23e4f4284cac05665737039ed854082647e3e770b39fec7d0ca6020d12,F034,retain,Verified from 1300 heterogeneous runs and 325 monoculture runs using one shifted finite-sample-corrected Gini definition.
I009,main,4_analysis.tex,115,fig:multiagent_homo_adversary,graphics/n_gt_2_report/homogeneous_adversary_gini_and_role_payoff.png,present,1c5ae7311eaa2bd7bdeb294b406a9cb99177138cced9b323dca06c13f87964dc,F035,retain,Verified from the exact 1300 canonical homogeneous-adversary runs.
I010,appendix,appendix.tex,295,fig:n2_adversary_payoff_by_competition,graphics/n2_gpt5_nano/01_02_adversary_payoff_combined.png,present,f71287e3b857a0230411ae202726f72cb1a99c3d6cb0dec473facc7c8c3660e6,F005,retain_pending_appendix_decision,Shared appendix figure.
I011,appendix,appendix.tex,302,fig:appendix_n2_baseline_payoff_raw,graphics/n2_gpt5_nano/04_baseline_payoff_by_competition_raw_per_elo.png,present,a747be19309755e3800b5f21fef61158755ffc3ea83e6240c946a058cc551223,F006,retain_pending_appendix_decision,Shared appendix figure.
I012,appendix,appendix.tex,361,fig:n2_optimality,graphics/n2_gpt5_nano/10_total_welfare_by_competition_ewma.png,present,a182ca16aace6cb9c6b879633f7e9bc1b5d05a7381455979a5eb6fb8184438d5,F007,retain_pending_appendix_decision,Shared appendix figure.
I013,appendix,appendix.tex,379,fig:appendix_n2_benchmark_distance,graphics/n2_gpt5_nano/11_fairness_distance_three_game_curves.png,present,250938c29b5d65ecc89db55b6d4212cc0a09c8c9b0462136810ed0aacfd57fa0,F009,retain_pending_appendix_decision,Shared appendix figure.
