experiment_dir,source_batch,agent_id,utility,model_pair,model_order,token_budget_prompted,competition_level,consensus_reached,final_round,total_reasoning_tokens,avg_reasoning_tokens,thinking_tokens,reflection_tokens,discussion_tokens,proposal_tokens,voting_tokens,num_interactions,round_1_tokens,round_2_tokens,round_3_tokens,round_4_tokens,round_5_tokens,round_6_tokens,round_7_tokens,round_8_tokens,round_9_tokens,round_10_tokens
experiments/results/ttc_scaling_20260124_202649/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_100/comp_1_0,ttc_scaling_20260124_202649,Agent_Alpha,29.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,100,1.0,True,10,157824,3849.3658536585367,0.0,2602.6666666666665,4345.6,0.0,0.0,81,19968,18624,18176,17792,15232,13184,14848,14400,10048,11520
experiments/results/ttc_scaling_20260124_202649/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_100/comp_1_0,ttc_scaling_20260124_202649,Agent_Beta,71.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,100,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,64.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,100,1.0,True,8,0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,36.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,100,1.0,True,8,158912,4815.515151515152,0.0,4260.571428571428,5178.666666666667,0.0,0.0,65,25024,24832,13760,29376,15424,18176,18432,9088,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,79.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,1000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,21.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,1000,1.0,True,10,201024,4903.024390243902,0.0,6136.888888888889,4674.133333333333,0.0,0.0,81,26240,26432,14528,18688,21184,21376,20032,18496,20032,8448
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,61.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,10000,1.0,True,7,0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,39.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,10000,1.0,True,7,108672,3747.310344827586,0.0,5194.666666666667,3565.714285714286,0.0,0.0,57,18176,14528,17088,17280,12928,18240,7808,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,69.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,3000,1.0,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,31.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,3000,1.0,True,10,201536,4915.512195121952,0.0,5496.888888888889,4891.733333333334,0.0,0.0,81,17920,20224,26176,20416,21184,22400,19776,19392,17152,11584
