experiment_group,config_id,run_name,game,n_agents,json_errors
homogeneous,889,config_0889_game1_homogeneous_adversary_n10_comp_0p25_gpt_4o_mini_2024_07_18_first_seed1,game1,10,9
homogeneous,2607,config_2607_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p8_amazon_nova_micro_v1p0_first_seed1,game3,10,9
homogeneous,2649,config_2649_game3_homogeneous_adversary_n10_sigma_0p5_alpha_0p2_amazon_nova_micro_v1p0_first_seed1,game3,10,9
heterogeneous,865,config_0865_game1_heterogeneous_random_n10_comp_0p0_run03,game1,10,8
heterogeneous,586,config_0586_game1_heterogeneous_random_n6_comp_0p75_run18,game1,6,7
homogeneous,849,config_0849_game1_homogeneous_adversary_n10_comp_0p0_gpt_4o_mini_2024_07_18_last_seed1,game1,10,7
homogeneous,2452,config_2452_game3_homogeneous_adversary_n8_sigma_0p2_alpha_0p8_gemini_2p5_pro_first_seed2,game3,8,7
homogeneous,2613,config_2613_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p8_gpt_4o_mini_2024_07_18_last_seed1,game3,10,7
heterogeneous,624,config_0624_game1_heterogeneous_random_n6_comp_1p0_run14,game1,6,6
homogeneous,1015,config_1015_game1_homogeneous_adversary_n10_comp_1p0_gpt_4o_mini_2024_07_18_first_seed1,game1,10,6
heterogeneous,700,config_0700_game1_heterogeneous_random_n8_comp_0p25_run06,game1,8,5
heterogeneous,708,config_0708_game1_heterogeneous_random_n8_comp_0p25_run14,game1,8,5
heterogeneous,710,config_0710_game1_heterogeneous_random_n8_comp_0p25_run16,game1,8,5
heterogeneous,1000,config_1000_game1_heterogeneous_random_n10_comp_0p75_run12,game1,10,5
homogeneous,679,config_0679_game1_homogeneous_adversary_n8_comp_0p25_gpt_4o_mini_2024_07_18_first_seed1,game1,8,5
homogeneous,806,config_0806_game1_homogeneous_adversary_n8_comp_1p0_gpt_4o_mini_2024_07_18_first_seed2,game1,8,5
homogeneous,931,config_0931_game1_homogeneous_adversary_n10_comp_0p5_gpt_4o_mini_2024_07_18_first_seed1,game1,10,5
homogeneous,2690,config_2690_game3_homogeneous_control_n10_sigma_0p5_alpha_0p8_seed2,game3,10,5
heterogeneous,372,config_0372_game1_heterogeneous_random_n4_comp_0p75_run14,game1,4,4
heterogeneous,414,config_0414_game1_heterogeneous_random_n4_comp_1p0_run14,game1,4,4
heterogeneous,416,config_0416_game1_heterogeneous_random_n4_comp_1p0_run16,game1,4,4
heterogeneous,487,config_0487_game1_heterogeneous_random_n6_comp_0p25_run03,game1,6,4
heterogeneous,535,config_0535_game1_heterogeneous_random_n6_comp_0p5_run09,game1,6,4
heterogeneous,616,config_0616_game1_heterogeneous_random_n6_comp_1p0_run06,game1,6,4
heterogeneous,629,config_0629_game1_heterogeneous_random_n6_comp_1p0_run19,game1,6,4
heterogeneous,711,config_0711_game1_heterogeneous_random_n8_comp_0p25_run17,game1,8,4
heterogeneous,737,config_0737_game1_heterogeneous_random_n8_comp_0p5_run01,game1,8,4
heterogeneous,742,config_0742_game1_heterogeneous_random_n8_comp_0p5_run06,game1,8,4
heterogeneous,747,config_0747_game1_heterogeneous_random_n8_comp_0p5_run11,game1,8,4
heterogeneous,750,config_0750_game1_heterogeneous_random_n8_comp_0p5_run14,game1,8,4
heterogeneous,751,config_0751_game1_heterogeneous_random_n8_comp_0p5_run15,game1,8,4
heterogeneous,786,config_0786_game1_heterogeneous_random_n8_comp_0p75_run08,game1,8,4
heterogeneous,828,config_0828_game1_heterogeneous_random_n8_comp_1p0_run08,game1,8,4
heterogeneous,840,config_0840_game1_heterogeneous_random_n8_comp_1p0_run20,game1,8,4
heterogeneous,912,config_0912_game1_heterogeneous_random_n10_comp_0p25_run08,game1,10,4
heterogeneous,993,config_0993_game1_heterogeneous_random_n10_comp_0p75_run05,game1,10,4
heterogeneous,1047,config_1047_game1_heterogeneous_random_n10_comp_1p0_run17,game1,10,4
heterogeneous,1251,config_1251_game2_heterogeneous_random_n4_rho_0p319802274228682_theta_0p2_run11,game2,4,4
heterogeneous,1596,config_1596_game2_heterogeneous_random_n8_rho_0p1365347919384111_theta_0p2_run20,game2,8,4
heterogeneous,1633,config_1633_game2_heterogeneous_random_n8_rho_0p1365347919384111_theta_0p8_run15,game2,8,4
heterogeneous,1759,config_1759_game2_heterogeneous_random_n10_rho_0p10615795122401363_theta_0p2_run15,game2,10,4
heterogeneous,2094,config_2094_game3_heterogeneous_random_n4_sigma_0p2_alpha_0p2_run14,game3,4,4
heterogeneous,2255,config_2255_game3_heterogeneous_random_n6_sigma_0p2_alpha_0p2_run07,game3,6,4
heterogeneous,2268,config_2268_game3_heterogeneous_random_n6_sigma_0p2_alpha_0p2_run20,game3,6,4
homogeneous,595,config_0595_game1_homogeneous_adversary_n6_comp_1p0_gpt_4o_mini_2024_07_18_first_seed1,game1,6,4
homogeneous,841,config_0841_game1_homogeneous_control_n10_comp_0p0_seed1,game1,10,4
homogeneous,843,config_0843_game1_homogeneous_adversary_n10_comp_0p0_amazon_nova_micro_v1p0_first_seed1,game1,10,4
