run_family,game,config_id,n_agents,literal_zero_outsider,winning_proposer_agent,winning_proposer_model,winning_proposer_elo,average_roster_elo,result_path
random_monoculture_control,game1,108,4,True,Agent_2,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0108_game1_n4_comp_0p5_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,114,6,True,Agent_1,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0114_game1_n6_comp_0p75_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,117,8,True,Agent_1,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0117_game1_n8_comp_0p25_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,118,8,True,Agent_1,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0118_game1_n8_comp_0p5_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,119,8,True,Agent_5,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0119_game1_n8_comp_0p75_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,122,10,True,Agent_5,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0122_game1_n10_comp_0p25_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,123,10,True,Agent_1,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0123_game1_n10_comp_0p5_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game1,124,10,True,Agent_10,gemini-3.1-pro,,1494.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0124_game1_n10_comp_0p75_gemini_3p1_pro/experiment_results.json
random_monoculture_control,game2,210,4,False,Agent_2,claude-opus-4-6,,1499.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0210_game2_n4_rho_0p319802274228682_theta_0p2_claude_opus_4_6/experiment_results.json
heterogeneous_random,game1,363,4,False,Agent_4,claude-opus-4-5-20251101-thinking-32k,1474,1422.25,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0363_game1_heterogeneous_random_n4_comp_0p75_run05/experiment_results.json
