experiment_dir,source_batch,agent_id,is_nonreasoning,utility,model_pair,model_order,token_budget_prompted,competition_level,consensus_reached,final_round,total_tokens_sum,avg_tokens_per_interaction,num_interactions,setup_tokens_avg,thinking_tokens_avg,discussion_tokens_avg,proposal_tokens_avg,voting_tokens_avg,reflection_tokens_avg,round_0_tokens,round_1_tokens,round_2_tokens,round_3_tokens,round_4_tokens,round_5_tokens,round_6_tokens,round_7_tokens,round_8_tokens,round_9_tokens,round_10_tokens
experiments/results/ttc_scaling_20260124_202649/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_100/comp_1_0,ttc_scaling_20260124_202649,Agent_Alpha,False,29.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,100,1.0,True,10,315493,3894.9753086419755,81,2668.5,3796.5,6038.633333333333,2121.0666666666666,0,3044.4444444444443,5337,34947,34525,31960,35355,31555,27704,28952,33559,24371,27228
experiments/results/ttc_scaling_20260124_202649/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_100/comp_1_0,ttc_scaling_20260124_202649,Agent_Beta,True,71.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,100,1.0,True,10,102941,1270.8765432098764,81,740.0,850.7,2290.766666666667,646.8666666666667,0,536.1111111111111,1480,10600,10777,10326,9860,10733,9457,8332,11637,9698,10041
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,True,64.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,100,1.0,True,8,57527,885.0307692307692,65,741.0,871.625,1209.0833333333333,641.625,0,665.0,1482,7253,7111,6830,6958,7163,6813,7136,6781,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,False,36.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,100,1.0,True,8,285408,4390.892307692307,65,3053.5,4876.0,6420.708333333333,2157.4583333333335,0,4916.714285714285,6107,39126,39094,31251,44618,34676,33120,33894,23522,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,True,79.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,1000,1.0,True,10,118935,1505.506329113924,81,756.5,1365.4,2453.8333333333335,646.8928571428571,0,1337.7777777777778,1513,12368,11643,12058,11398,12172,12955,11453,12300,10940,10135
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,False,21.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,1000,1.0,True,10,411058,5074.79012345679,81,3445.0,4988.9,7163.566666666667,2391.266666666667,0,7514.888888888889,6890,50619,48033,34642,39273,40616,40872,43389,40175,40629,25920
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,True,61.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,10000,1.0,True,7,146428,2614.785714285714,57,758.0,2225.1428571428573,4949.476190476191,642.6,0,2090.8333333333335,1516,21441,21450,20239,21429,17566,23699,19088,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,False,39.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,10000,1.0,True,7,304302,5338.631578947368,57,1917.5,5141.857142857143,8216.095238095239,2429.3809523809523,0,6819.833333333333,3835,46325,41510,44725,44607,39865,46963,36472,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,True,69.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,3000,1.0,True,10,155180,1915.8024691358025,81,747.0,1728.8,3376.5333333333333,641.7666666666667,0,1761.0,1494,16625,14164,15683,15455,15352,16868,15617,17266,14182,12474
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,False,31.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,3000,1.0,True,10,444280,5484.938271604939,81,3362.0,5116.0,8430.366666666667,2336.233333333333,0,7044.222222222223,6724,46656,44831,51593,44344,44907,46658,42537,46425,38955,30650
