packet_id,file_path,baseline_agent,adversary_agent,baseline_model,adversary_model,adversary_short,adversary_tier,adversary_elo,model_order,competition_level,discussion_turns,consensus_reached,final_round,baseline_utility,adversary_utility,utility_gap,top_item_conflict,top2_overlap_count,accepted_proposer,accepted_proposer_role,baseline_proposal_count,baseline_unique_proposals,baseline_repeat_rate,baseline_all_items_rate,baseline_parse_failure_rate,baseline_opening_self_raw,baseline_opening_other_raw,baseline_opening_self_share,baseline_first_concession_round,baseline_late_concession_score,baseline_total_concession,baseline_largest_single_concession,baseline_final_self_raw,baseline_final_other_raw,baseline_stubbornness_proxy,adversary_proposal_count,adversary_unique_proposals,adversary_repeat_rate,adversary_all_items_rate,adversary_parse_failure_rate,adversary_opening_self_raw,adversary_opening_other_raw,adversary_opening_self_share,adversary_first_concession_round,adversary_late_concession_score,adversary_total_concession,adversary_largest_single_concession,adversary_final_self_raw,adversary_final_other_raw,adversary_stubbornness_proxy
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_amazon_nova_pro_v1_0_strong_first_comp_0_0_turns_1_run_2_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_amazon-nova-pro-v1.0/strong_first/comp_0.0/turns_1/run_2/experiment_results.json,Agent_2,Agent_1,gpt-5-nano,amazon-nova-pro-v1.0,Nova Pro,Medium,1290.0,strong_first,0.0,1,True,1,100.0,99.0,-1.0,False,0,Agent_1,adversary,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,99.0,100.0,0.49748743718592964,,0.5,0.0,0.0,99.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_amazon_nova_pro_v1_0_strong_first_comp_0_0_turns_2_run_2_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_amazon-nova-pro-v1.0/strong_first/comp_0.0/turns_2/run_2/experiment_results.json,Agent_2,Agent_1,gpt-5-nano,amazon-nova-pro-v1.0,Nova Pro,Medium,1290.0,strong_first,0.0,2,True,1,100.0,100.0,0.0,False,0,Agent_1,adversary,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_amazon_nova_pro_v1_0_weak_first_comp_0_0_turns_1_run_1_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_amazon-nova-pro-v1.0/weak_first/comp_0.0/turns_1/run_1/experiment_results.json,Agent_1,Agent_2,gpt-5-nano,amazon-nova-pro-v1.0,Nova Pro,Medium,1290.0,weak_first,0.0,1,True,2,85.5,90.0,4.5,False,0,Agent_1,baseline,2,2,0.0,0.0,0.0,100.0,100.0,0.5,2.0,0.1111111111111111,5.0,5.0,95.0,100.0,0.027777777777777776,2,1,1.0,0.0,0.0,100.0,95.0,0.5128205128205128,,1.0,0.0,0.0,100.0,95.0,0.5
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_amazon_nova_pro_v1_0_weak_first_comp_0_0_turns_2_run_1_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_amazon-nova-pro-v1.0/weak_first/comp_0.0/turns_2/run_1/experiment_results.json,Agent_1,Agent_2,gpt-5-nano,amazon-nova-pro-v1.0,Nova Pro,Medium,1290.0,weak_first,0.0,2,True,8,45.916502400000006,47.82969000000001,1.9131876000000005,False,0,Agent_2,adversary,8,4,0.42857142857142855,0.0,0.0,100.0,100.0,0.5,2.0,0.1111111111111111,96.0,96.0,4.0,0.0,0.1349206349206349,8,3,0.7142857142857143,0.0,0.0,7.0,96.0,0.06796116504854369,,1.0,0.0,0.0,100.0,96.0,0.4285714285714286
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_qwen2_5_72b_instruct_strong_first_comp_0_0_turns_1_run_2_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_qwen2.5-72b-instruct/strong_first/comp_0.0/turns_1/run_2/experiment_results.json,Agent_2,Agent_1,gpt-5-nano,qwen2.5-72b-instruct,Qwen2.5 72B,Medium,1302.0,strong_first,0.0,1,True,1,100.0,100.0,0.0,False,0,Agent_1,adversary,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_qwen2_5_72b_instruct_strong_first_comp_0_0_turns_2_run_2_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_qwen2.5-72b-instruct/strong_first/comp_0.0/turns_2/run_2/experiment_results.json,Agent_2,Agent_1,gpt-5-nano,qwen2.5-72b-instruct,Qwen2.5 72B,Medium,1302.0,strong_first,0.0,2,True,1,100.0,100.0,0.0,False,0,Agent_1,adversary,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_qwen2_5_72b_instruct_weak_first_comp_0_0_turns_1_run_1_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_qwen2.5-72b-instruct/weak_first/comp_0.0/turns_1/run_1/experiment_results.json,Agent_1,Agent_2,gpt-5-nano,qwen2.5-72b-instruct,Qwen2.5 72B,Medium,1302.0,weak_first,0.0,1,True,1,100.0,100.0,0.0,False,0,Agent_1,baseline,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_qwen2_5_72b_instruct_weak_first_comp_0_0_turns_2_run_1_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_qwen2.5-72b-instruct/weak_first/comp_0.0/turns_2/run_1/experiment_results.json,Agent_1,Agent_2,gpt-5-nano,qwen2.5-72b-instruct,Qwen2.5 72B,Medium,1302.0,weak_first,0.0,2,True,1,100.0,100.0,0.0,False,0,Agent_1,baseline,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_4o_mini_2024_07_18_strong_first_comp_0_0_turns_1_run_2_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-4o-mini-2024-07-18/strong_first/comp_0.0/turns_1/run_2/experiment_results.json,Agent_2,Agent_1,gpt-5-nano,gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,1317.0,strong_first,0.0,1,True,1,100.0,100.0,0.0,False,0,Agent_1,adversary,1,1,0.0,0.0,0.0,88.0,100.0,0.46808510638297873,,0.5,0.0,0.0,88.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
experiments_results_scaling_experiment_20260404_064451_gpt_5_nano_vs_gpt_4o_mini_2024_07_18_strong_first_comp_0_0_turns_2_run_2_experiment_results_json,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_gpt-4o-mini-2024-07-18/strong_first/comp_0.0/turns_2/run_2/experiment_results.json,Agent_2,Agent_1,gpt-5-nano,gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,1317.0,strong_first,0.0,2,True,1,100.0,100.0,0.0,False,0,Agent_1,adversary,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125,1,1,0.0,0.0,0.0,100.0,100.0,0.5,,0.5,0.0,0.0,100.0,100.0,0.125
