focal_model,n_agents,competition_level,state,quota_hit_configs
gemini-2.5-pro,5,0.5,SUBMITTED,1
gemini-2.5-pro,5,1.0,SUBMITTED,1
gemini-3-pro,3,0.5,SKIPPED,7
gemini-3-pro,3,0.5,SUBMITTED,4
gemini-3-pro,3,0.9,SKIPPED,10
gemini-3-pro,3,0.9,SUBMITTED,4
gemini-3-pro,3,1.0,SKIPPED,14
gemini-3-pro,3,1.0,SUBMITTED,6
gemini-3-pro,5,0.0,SKIPPED,14
gemini-3-pro,5,0.0,SUBMITTED,6
gemini-3-pro,5,0.5,SKIPPED,14
gemini-3-pro,5,0.5,SUBMITTED,6
gemini-3-pro,5,0.9,SKIPPED,14
gemini-3-pro,5,0.9,SUBMITTED,6
gemini-3-pro,5,1.0,SKIPPED,14
gemini-3-pro,5,1.0,SUBMITTED,6
