figure_id,paper_section,tex_source,tex_line,latex_label,graphic_path,sha256,producer_script,provenance_status,source_inputs,retention_status,notes
F001,main,4_analysis.tex,11,fig:bilateral_overview,graphics/n2_gpt5_nano/bilateral_overview_combined.png,681a726f9b9088de3180a96c56eb3b9aec5217936b864ef6bf5c848c0742c4d1,scripts/paper_figures/render_figure2_large_fonts.py,inferred,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain,The recreation script writes a differently named staging image.
F002,main,4_analysis.tex,46,fig:n2_qualitative,graphics/qualitative_n2/n2_qualitative_combined_smooth5_outlier_removed_aligned.png,48882291c60dac52338576d956a4ff019c6db1dd2ce35828f3b6d373355262c9,scripts/paper_figures/make_combined_aligned_font_balanced.py,inferred,overleaf/icml_aiwild_template/graphics/qualitative_n2/n2_group_payoff_corr_dedup.csv;overleaf/icml_aiwild_template/graphics/qualitative_n2/n2_group_intensity_dedup.csv,retain,The recreation script writes a differently named staging image.
F003,main,4_analysis.tex,56,fig:ttc_scatter,graphics/ttc_game_averaged_target_payoff_vs_compute.png,bde080a2cedc32fc9c247c1d23b2fcb33c909bd72fad7b5803e255a9841fc1ad,scripts/paper_figures/plot_ttc_game_averaged_observed_tokens.py,verified,analysis/neurips_revision_20260504/ttc_order_averaged.csv;analysis/neurips_revision_20260504/ttc_game_averaged_by_effort.csv,retain,The script writes to the NeurIPS staging tree before the paper copy.
F004,appendix,appendix.tex,46,fig:flow,icml_aiwild_template/graphics/Hero_Figure_1.png,9efe9458bcb544216f529fc8bb8c3d55999c57eda743aa5ae66f32426a511a2f,UNRESOLVED,manual-asset,overleaf/2026_icml/graphics/Hero_Figure_1.pdf,retain_pending_appendix_decision,The author made this figure in Google Drawings and saved a complete PDF. No generation script is expected.
F005,appendix,appendix.tex,324,fig:n2_adversary_payoff_by_competition,graphics/n2_gpt5_nano/01_02_adversary_payoff_combined.png,e8cb93dd0f2a24df1a17cc92a1db4c1da584b03af11d9aed898c69ad88e2f544,scripts/analyze_n2_baseline_comparison.py,manual-composite,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,The script makes the component plots. Final composition code was not found.
F006,appendix,appendix.tex,331,fig:appendix_n2_baseline_payoff_raw,graphics/n2_gpt5_nano/04_baseline_payoff_by_competition_raw_per_elo.png,fa224cd328336e77178b66f50657ecc5c845112401ba91e934900d2c6eeb456d,scripts/paper_figures/plot_figure3_baseline_by_competition_ewma_iteration.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,The script writes to the NeurIPS staging tree before the paper copy.
F007,appendix,appendix.tex,390,fig:appendix_n2_welfare,graphics/n2_gpt5_nano/10_total_welfare_by_competition_ewma.png,ad279dabb1555d6823b052b5c782ef1dd9290bbd352f18df4f14c17bad2b7e74,scripts/paper_figures/plot_figure4_total_welfare_by_competition_ewma.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv;experiments/results/figure_iteration_20260507/gpt5_nano/figure4_welfare_by_competition_attainable_welfare.csv,retain_pending_appendix_decision,The script writes to the NeurIPS staging tree before the paper copy.
F008,appendix,appendix.tex,402,fig:fairshare_headline,graphics/n2_gpt5_nano/fairshare_residual_combined.png,7e86875b9096d0ddfb04faa8a2396b9062bb7e8483b209e52317d732ae2f6227,scripts/paper_figures/plot_fairshare_residual_combined.py,verified,scripts/paper_figures/assets/fairshare_residual_combined_base.png,retain_pending_appendix_decision,The script applies the saved paper label edits to the retained base image.
F009,appendix,appendix.tex,417,fig:appendix_n2_benchmark_distance,graphics/n2_gpt5_nano/11_fairness_distance_three_game_curves.png,e5dae01af937b72f279eaa2ac9d8987d80e5b06f97c9ced5a2817efd1e805513,scripts/paper_figures/plot_n2_fairness_distance_three_game_curves.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/overall_by_model_game.csv,retain_pending_appendix_decision,The script writes to the NeurIPS staging tree before the paper copy.
F010,appendix,appendix.tex,425,fig:n2_fairness,graphics/n2_gpt5_nano/11_fairness_distance_overall.png,b37cfd4ba87be93584ba3c5aab1a89334b0ee4841a698fa7a41f13f7ec4db6a0,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,Generated in the N2 comparison output and copied into the paper.
