config_id,proposal_family,condition_role,pairing_id,focal_model,baseline_model,n_agents,competition_level,replicate_id,field_id,random_seed,models,ecology_models,output_dir,status,consensus_reached,final_round,focal_agent_utility,mean_utility_all_agents
4001,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep1,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,1.0,,56255,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_01/focal,NOT_STARTED,,,,
4002,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep1,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,1.0,,56255,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_01/control,NOT_STARTED,,,,
4003,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep2,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,2.0,,56281,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_02/focal,NOT_STARTED,,,,
4004,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep2,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,2.0,,56281,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_02/control,NOT_STARTED,,,,
4005,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep3,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,3.0,,56307,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_03/focal,NOT_STARTED,,,,
4006,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep3,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,3.0,,56307,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_03/control,NOT_STARTED,,,,
4007,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep4,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,4.0,,56333,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_04/focal,NOT_STARTED,,,,
4008,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep4,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,4.0,,56333,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_04/control,NOT_STARTED,,,,
4009,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep5,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,5.0,,56359,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_05/focal,NOT_STARTED,,,,
4010,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep5,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,5.0,,56359,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_05/control,NOT_STARTED,,,,
4011,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep6,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,6.0,,56385,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_06/focal,NOT_STARTED,,,,
4012,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep6,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,6.0,,56385,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_06/control,NOT_STARTED,,,,
4013,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep7,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,7.0,,56411,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_07/focal,NOT_STARTED,,,,
4014,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep7,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,7.0,,56411,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_07/control,NOT_STARTED,,,,
4015,proposal1_invasion,focal,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep8,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,8.0,,56437,"['amazon-nova-micro-v1.0', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_08/focal,NOT_STARTED,,,,
4016,proposal1_invasion,control,proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep8,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,8.0,,56437,"['gpt-5-nano', 'gpt-5-nano', 'gpt-5-nano']",[],/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_08/control,NOT_STARTED,,,,
