pairing_id,proposal_family,focal_model,baseline_model,n_agents,competition_level,replicate_id,field_id,random_seed,status,focal_output_dir,control_output_dir,ecology_models,focal_agent_utility,control_agent_utility,utility_advantage_vs_nano,focal_consensus_reached,control_consensus_reached,focal_final_round,control_final_round,elo,short_name
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep1,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,1.0,,56255,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_01/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_01/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep10,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,10.0,,56489,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_10/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_10/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep2,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,2.0,,56281,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_02/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_02/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep3,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,3.0,,56307,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_03/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_03/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep4,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,4.0,,56333,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_04/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_04/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep5,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,5.0,,56359,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_05/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_05/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep6,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,6.0,,56385,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_06/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_06/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep7,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,7.0,,56411,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_07/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_07/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep8,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,8.0,,56437,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_08/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_08/control,[],,,,,,,,1240,Nova Micro
proposal1|amazon-nova-micro-v1.0|n3|comp0.0|rep9,proposal1_invasion,amazon-nova-micro-v1.0,gpt-5-nano,3,0.0,9.0,,56463,INCOMPLETE,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_09/focal,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/game1_multiagent_full_20260413_045538/proposal1_invasion/focal_amazon-nova-micro-v1.0/n_3/comp_0/rep_09/control,[],,,,,,,,1240,Nova Micro
